,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
0,2023-04-03,Away,,,,EVE,,,,TOT,,4,28,49,2.0,15,28,26,1.0,75.8,2.2,0.8,2022,61.4,1.7,1.0
1,2023-04-03,Home,,,,TOT,,,,EVE,,15,28,26,1.0,4,28,49,2.0,61.4,1.7,1.0,2022,75.8,2.2,0.8
2,2023-04-04,Home,,,,NFO,,,,LEE,,17,28,26,1.4,15,28,27,0.4,66.2,1.9,1.0,2022,55.1,1.5,1.1
3,2023-04-04,Away,,,,LEI,,,,AVL,,9,28,41,2.6,19,28,25,0.2,72.9,2.0,0.8,2022,68.0,1.9,0.9
4,2023-04-04,Home,,,,BHA,,,,BOU,,16,28,27,1.2,6,26,43,1.6,57.9,1.7,1.1,2022,80.9,2.3,0.7
5,2023-04-04,Away,,,,BOU,,,,BHA,,6,26,43,1.6,16,28,27,1.2,80.9,2.3,0.7,2022,57.9,1.7,1.1
6,2023-04-04,Home,,,,LIV,,,,CHE,,11,28,38,1.4,8,27,42,1.4,79.6,2.0,0.5,2022,83.2,2.5,0.7
7,2023-04-04,Home,,,,AVL,,,,LEI,,19,28,25,0.2,9,28,41,2.6,68.0,1.9,0.9,2022,72.9,2.0,0.8
8,2023-04-04,Away,,,,CHE,,,,LIV,,8,27,42,1.4,11,28,38,1.4,83.2,2.5,0.7,2022,79.6,2.0,0.5
9,2023-04-04,Away,,,,LEE,,,,NFO,,15,28,27,0.4,17,28,26,1.4,55.1,1.5,1.1,2022,66.2,1.9,1.0
10,2023-04-05,Away,,,,MUN,,,,BRE,,7,28,43,1.6,4,27,50,1.4,73.5,2.1,0.8,2022,78.1,2.3,0.7
11,2023-04-05,Home,,,,NEW,,,,WHU,,14,27,27,1.4,3,27,50,1.8,72.3,1.8,0.7,2022,81.7,2.1,0.5
12,2023-04-05,Home,,,,BRE,,,,MUN,,4,27,50,1.4,7,28,43,1.6,78.1,2.3,0.7,2022,73.5,2.1,0.8
13,2023-04-05,Away,,,,WHU,,,,NEW,,3,27,50,1.8,14,27,27,1.4,81.7,2.1,0.5,2022,72.3,1.8,0.7
14,2023-04-08,Home,,,,MCI,,,,SOU,,20,29,23,1.0,2,28,64,2.6,62.3,1.6,0.9,2022,93.0,3.0,0.3
15,2023-04-08,Home,,,,CHE,,,,WOL,,13,29,28,0.8,11,28,38,1.4,64.3,1.7,0.9,2022,79.6,2.0,0.5
16,2023-04-08,Home,,,,WHU,,,,FUL,,10,28,39,0.8,14,27,27,1.4,65.4,1.8,1.0,2022,72.3,1.8,0.7
17,2023-04-08,Away,,,,SOU,,,,MCI,,2,28,64,2.6,20,29,23,1.0,93.0,3.0,0.3,2022,62.3,1.6,0.9
18,2023-04-09,Away,,,,LEE,,,,CRY,,12,29,30,0.6,17,28,26,1.4,69.5,1.7,0.7,2022,66.2,1.9,1.0
19,2023-04-09,Away,,,,LIV,,,,ARS,,1,29,72,3.0,8,27,42,1.4,85.7,2.6,0.5,2022,83.2,2.5,0.7
