,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
0,2023-04-15,Home,,,,BRE,,,,WOL,,13,30,31,1.4,9,30,43,1.0,64.1,1.6,0.9,2022,73.9,2.1,0.8
1,2023-04-15,Home,,,,NEW,,,,AVL,,6,30,47,2.6,3,29,56,3.0,74.7,2.0,0.7,2022,82.2,2.2,0.5
2,2023-04-15,Away,,,,TOT,,,,BOU,,15,30,30,1.8,5,30,53,1.6,59.4,1.7,1.1,2022,75.1,2.1,0.8
3,2023-04-15,Away,,,,WOL,,,,BRE,,9,30,43,1.0,13,30,31,1.4,73.9,2.1,0.8,2022,64.1,1.6,0.9
4,2023-04-15,Away,,,,CHE,,,,BHA,,7,28,46,1.6,11,30,39,1.0,81.3,2.3,0.6,2022,80.8,2.0,0.5
5,2023-04-15,Home,,,,BHA,,,,CHE,,11,30,39,1.0,7,28,46,1.6,80.8,2.0,0.5,2022,81.3,2.3,0.6
6,2023-04-15,Away,,,,SOU,,,,CRY,,12,30,33,1.2,20,30,23,0.4,71.8,1.8,0.7,2022,61.8,1.6,0.9
7,2023-04-15,Home,,,,FUL,,,,EVE,,17,30,27,1.2,10,29,39,0.2,60.9,1.7,1.0,2022,65.2,1.8,0.9
8,2023-04-15,Away,,,,EVE,,,,FUL,,10,29,39,0.2,17,30,27,1.2,65.2,1.8,0.9,2022,60.9,1.7,1.0
9,2023-04-15,Home,,,,BOU,,,,TOT,,5,30,53,1.6,15,30,30,1.8,75.1,2.1,0.8,2022,59.4,1.7,1.1
10,2023-04-15,Away,,,,MCI,,,,LEI,,19,30,25,0.2,2,29,67,3.0,65.8,1.8,0.9,2022,93.1,3.0,0.3
11,2023-04-15,Home,,,,CRY,,,,SOU,,20,30,23,0.4,12,30,33,1.2,61.8,1.6,0.9,2022,71.8,1.8,0.7
12,2023-04-15,Home,,,,LEI,,,,MCI,,2,29,67,3.0,19,30,25,0.2,93.1,3.0,0.3,2022,65.8,1.8,0.9
13,2023-04-15,Away,,,,AVL,,,,NEW,,3,29,56,3.0,6,30,47,2.6,82.2,2.2,0.5,2022,74.7,2.0,0.7
14,2023-04-16,Home,,,,MUN,,,,NFO,,18,30,27,0.2,4,29,56,1.4,54.2,1.5,1.1,2022,79.2,2.3,0.7
15,2023-04-16,Away,,,,WHU,,,,ARS,,1,30,73,2.6,14,29,30,1.4,84.4,2.5,0.6,2022,71.0,1.8,0.7
16,2023-04-16,Home,,,,ARS,,,,WHU,,14,29,30,1.4,1,30,73,2.6,71.0,1.8,0.7,2022,84.4,2.5,0.6
17,2023-04-16,Away,,,,NFO,,,,MUN,,4,29,56,1.4,18,30,27,0.2,79.2,2.3,0.7,2022,54.2,1.5,1.1
18,2023-04-17,Away,,,,LEE,,,,LIV,,8,29,44,1.0,16,30,29,1.4,83.8,2.6,0.6,2022,63.0,1.9,1.1
19,2023-04-17,Home,,,,LIV,,,,LEE,,16,30,29,1.4,8,29,44,1.0,63.0,1.9,1.1,2022,83.8,2.6,0.6
