,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
597,2018-03-11,Home,W,3.0,0.0,WAT,2.2,1.4,59.0,ARS,41.0,6.0,29.0,45.0,45.0,9.0,29.0,36.0,33.0,79.7,2.6,0.9,2017,60.1,1.7,1.1
626,2018-04-01,Home,W,3.0,0.0,STK,3.3,0.4,69.0,ARS,31.0,6.0,30.0,48.0,45.0,19.0,31.0,27.0,27.0,80.7,2.7,0.9,2017,50.3,1.4,1.2
647,2018-04-08,Home,W,3.0,2.0,SOU,1.6,2.0,64.0,ARS,36.0,6.0,31.0,51.0,48.0,18.0,31.0,28.0,28.0,80.5,2.8,0.9,2017,57.7,1.6,1.1
662,2018-04-15,Away,L,1.0,2.0,NEW,1.2,0.8,71.0,ARS,29.0,6.0,32.0,54.0,51.0,10.0,32.0,38.0,35.0,79.8,2.7,0.9,2017,59.6,1.6,1.0
682,2018-04-22,Home,W,4.0,1.0,WHU,1.8,0.8,67.0,ARS,33.0,6.0,33.0,54.0,54.0,14.0,33.0,35.0,34.0,80.2,2.8,0.9,2017,53.9,1.7,1.3
703,2018-04-29,Away,L,1.0,2.0,MUN,0.5,1.7,41.0,ARS,59.0,6.0,34.0,57.0,54.0,2.0,34.0,74.0,74.0,80.6,2.8,0.9,2017,79.4,2.3,0.7
727,2018-05-06,Home,W,5.0,0.0,BUR,2.6,0.3,63.0,ARS,37.0,6.0,35.0,57.0,57.0,7.0,36.0,54.0,53.0,80.9,2.8,0.9,2017,59.7,1.5,0.9
733,2018-05-09,Away,L,1.0,3.0,LEI,1.4,2.2,59.0,ARS,41.0,6.0,37.0,60.0,57.0,9.0,37.0,47.0,44.0,80.9,2.8,0.9,2017,62.1,1.7,1.0
759,2018-05-13,Away,W,1.0,0.0,HUD,2.0,1.7,55.0,ARS,45.0,6.0,37.0,60.0,60.0,16.0,37.0,37.0,37.0,80.5,2.8,0.9,2017,49.2,1.2,1.0
778,2018-08-12,Home,L,0.0,2.0,MCI,0.5,1.7,42.0,ARS,58.0,,,,,,,,,81.0,2.5,0.7,2018,92.5,2.8,0.2
783,2018-08-18,Away,L,2.0,3.0,CHE,2.4,1.6,38.0,ARS,62.0,15.0,1.0,0.0,,2.0,1.0,3.0,,81.3,2.5,0.7,2018,84.8,2.5,0.5
804,2018-08-25,Home,W,3.0,1.0,WHU,1.8,1.1,61.0,ARS,39.0,17.0,2.0,0.0,0.0,19.0,2.0,0.0,0.0,80.5,2.5,0.8,2018,63.2,1.8,1.0
834,2018-09-02,Away,W,3.0,2.0,CAR,1.7,1.0,72.0,ARS,28.0,9.0,3.0,3.0,0.0,15.0,3.0,2.0,1.0,80.3,2.5,0.8,2018,60.0,1.6,1.0
841,2018-09-15,Away,W,2.0,1.0,NEW,1.0,0.4,63.0,ARS,37.0,9.0,4.0,6.0,3.0,18.0,4.0,1.0,1.0,80.7,2.5,0.8,2018,67.2,1.7,0.8
878,2018-09-23,Home,W,2.0,0.0,EVE,0.8,0.8,62.0,ARS,38.0,7.0,5.0,9.0,6.0,10.0,5.0,6.0,6.0,80.9,2.5,0.8,2018,65.5,1.8,0.9
893,2018-09-29,Home,W,2.0,0.0,WAT,1.4,2.8,63.0,ARS,37.0,6.0,6.0,12.0,9.0,4.0,6.0,13.0,12.0,80.5,2.5,0.8,2018,70.0,1.9,0.8
919,2018-10-07,Away,W,5.0,1.0,FUL,1.1,1.4,52.0,ARS,48.0,5.0,7.0,15.0,12.0,17.0,7.0,5.0,5.0,81.2,2.5,0.7,2018,60.6,1.7,1.1
939,2018-10-22,Home,W,3.0,1.0,LEI,2.7,0.5,68.0,ARS,32.0,4.0,8.0,18.0,15.0,10.0,8.0,12.0,12.0,81.8,2.6,0.7,2018,70.8,1.9,0.8
956,2018-10-28,Away,D,2.0,2.0,CRY,0.9,2.3,57.0,ARS,43.0,4.0,9.0,21.0,18.0,15.0,9.0,7.0,7.0,81.2,2.5,0.7,2018,68.1,1.8,0.8
968,2018-11-03,Home,D,1.0,1.0,LIV,1.4,1.3,61.0,ARS,39.0,4.0,10.0,22.0,21.0,2.0,10.0,26.0,23.0,81.6,2.5,0.7,2018,90.5,2.7,0.3
