,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
2336,2020-10-03,Home,W,4.0,0.0,CRY,2.7,0.2,70.0,CHE,30.0,9.0,3.0,4.0,3.0,6.0,3.0,6.0,6.0,84.5,2.5,0.6,2020,67.7,1.7,0.8
2358,2020-10-17,Home,D,3.0,3.0,SOU,1.8,1.9,53.0,CHE,47.0,7.0,4.0,7.0,4.0,11.0,4.0,6.0,3.0,83.5,2.4,0.6,2020,73.0,2.0,0.8
2379,2020-10-24,Away,D,0.0,0.0,MUN,0.2,0.6,49.0,CHE,51.0,8.0,5.0,8.0,7.0,15.0,4.0,6.0,3.0,83.5,2.4,0.6,2020,82.7,2.4,0.6
2398,2020-10-31,Away,W,3.0,0.0,BUR,0.9,0.5,63.0,CHE,37.0,10.0,6.0,9.0,8.0,18.0,5.0,1.0,1.0,84.3,2.4,0.5,2020,68.3,1.7,0.8
2425,2020-11-07,Home,W,4.0,1.0,SHU,2.2,0.4,69.0,CHE,31.0,7.0,7.0,12.0,9.0,19.0,7.0,1.0,1.0,86.1,2.5,0.5,2020,66.4,1.7,0.8
2442,2020-11-21,Away,W,2.0,0.0,NEW,1.5,0.3,70.0,CHE,30.0,5.0,8.0,15.0,12.0,13.0,8.0,11.0,11.0,86.4,2.5,0.4,2020,64.8,1.7,0.9
2469,2020-11-29,Home,D,0.0,0.0,TOT,0.8,0.2,60.0,CHE,40.0,3.0,9.0,18.0,15.0,1.0,9.0,20.0,17.0,87.6,2.5,0.4,2020,84.0,2.4,0.5
2477,2020-12-05,Home,W,3.0,1.0,LEE,4.1,0.8,46.0,CHE,54.0,3.0,10.0,19.0,18.0,12.0,10.0,14.0,11.0,87.6,2.5,0.4,2020,69.1,2.0,0.9
2497,2020-12-12,Away,L,0.0,1.0,EVE,0.7,1.2,71.0,CHE,29.0,3.0,11.0,22.0,19.0,9.0,11.0,17.0,16.0,87.4,2.5,0.4,2020,73.0,2.1,0.8
2514,2020-12-15,Away,L,1.0,2.0,WOL,1.0,0.5,55.0,CHE,45.0,5.0,12.0,22.0,22.0,13.0,12.0,17.0,17.0,87.0,2.5,0.4,2020,75.8,1.8,0.5
2553,2020-12-21,Home,W,3.0,0.0,WHU,2.0,0.4,53.0,CHE,47.0,7.0,13.0,22.0,22.0,8.0,13.0,21.0,20.0,87.3,2.5,0.4,2020,73.7,2.0,0.7
2554,2020-12-26,Away,L,1.0,3.0,ARS,2.6,2.0,60.0,CHE,40.0,5.0,14.0,25.0,22.0,15.0,14.0,14.0,14.0,86.8,2.5,0.4,2020,79.6,2.1,0.6
2574,2020-12-28,Home,D,1.0,1.0,AVL,1.7,0.7,63.0,CHE,37.0,8.0,15.0,25.0,25.0,7.0,13.0,25.0,22.0,86.8,2.5,0.4,2020,78.7,2.2,0.6
2605,2021-01-03,Home,L,1.0,3.0,MCI,0.8,2.7,54.0,CHE,46.0,6.0,16.0,26.0,25.0,6.0,14.0,26.0,23.0,85.8,2.4,0.5,2020,93.7,2.9,0.2
2621,2021-01-16,Away,W,1.0,0.0,FUL,1.6,0.7,69.0,CHE,31.0,9.0,17.0,26.0,26.0,18.0,16.0,12.0,11.0,85.8,2.4,0.5,2020,65.9,1.7,0.9
2641,2021-01-19,Away,L,0.0,2.0,LEI,0.7,1.4,64.0,CHE,36.0,9.0,19.0,29.0,26.0,3.0,19.0,38.0,32.0,85.7,2.4,0.4,2020,80.9,2.2,0.5
2662,2021-01-27,Home,D,0.0,0.0,WOL,0.7,0.5,78.0,CHE,22.0,9.0,19.0,29.0,29.0,14.0,19.0,22.0,22.0,85.6,2.3,0.4,2020,72.4,1.8,0.7
2685,2021-01-31,Home,W,2.0,0.0,BUR,1.2,0.2,70.0,CHE,30.0,8.0,20.0,30.0,29.0,15.0,19.0,22.0,19.0,86.0,2.3,0.4,2020,66.3,1.6,0.7
2709,2021-02-04,Away,W,1.0,0.0,TOT,1.6,0.6,58.0,CHE,43.0,7.0,21.0,33.0,30.0,6.0,20.0,33.0,33.0,86.0,2.3,0.4,2020,78.8,2.2,0.7
2727,2021-02-07,Away,W,2.0,1.0,SHU,1.6,0.6,68.0,CHE,32.0,6.0,22.0,36.0,33.0,20.0,22.0,11.0,8.0,86.8,2.3,0.4,2020,64.9,1.6,0.8
2749,2021-02-15,Home,W,2.0,0.0,NEW,2.2,0.6,64.0,CHE,36.0,5.0,23.0,39.0,36.0,16.0,23.0,25.0,22.0,87.0,2.3,0.3,2020,62.5,1.7,0.9
2761,2021-02-20,Away,D,1.0,1.0,SOU,1.2,0.6,70.0,CHE,30.0,4.0,24.0,42.0,39.0,13.0,23.0,29.0,29.0,87.0,2.3,0.3,2020,69.4,1.8,0.8
2791,2021-02-28,Home,D,0.0,0.0,MUN,1.1,0.4,57.0,CHE,43.0,5.0,25.0,43.0,42.0,2.0,25.0,49.0,46.0,88.1,2.3,0.3,2020,86.9,2.4,0.4
2805,2021-03-04,Away,W,1.0,0.0,LIV,1.0,0.3,46.0,CHE,54.0,4.0,27.0,47.0,43.0,7.0,27.0,43.0,40.0,88.1,2.3,0.3,2020,88.5,2.6,0.4
2826,2021-03-08,Home,W,2.0,0.0,EVE,2.4,0.3,65.0,CHE,35.0,4.0,27.0,47.0,47.0,5.0,26.0,46.0,46.0,89.2,2.3,0.2,2020,72.3,1.9,0.7
2836,2021-03-13,Away,D,0.0,0.0,LEE,1.0,0.4,62.0,CHE,38.0,4.0,28.0,50.0,47.0,11.0,27.0,35.0,35.0,89.2,2.3,0.2,2020,70.9,2.1,0.9
2864,2021-04-03,Home,L,2.0,5.0,WBA,2.1,1.6,65.0,CHE,35.0,4.0,29.0,51.0,50.0,19.0,29.0,18.0,18.0,87.4,2.3,0.3,2020,59.4,1.7,1.1
2887,2021-04-10,Away,W,4.0,1.0,CRY,3.1,0.4,64.0,CHE,36.0,5.0,30.0,51.0,51.0,12.0,30.0,38.0,37.0,87.4,2.3,0.3,2020,60.5,1.6,1.0
2913,2021-04-20,Home,D,0.0,0.0,BHA,0.7,0.5,64.0,CHE,36.0,5.0,31.0,54.0,51.0,15.0,31.0,33.0,32.0,87.1,2.2,0.3,2020,79.1,1.9,0.5
2923,2021-04-24,Away,W,1.0,0.0,WHU,2.5,0.4,55.0,CHE,45.0,4.0,32.0,55.0,54.0,5.0,32.0,55.0,55.0,87.1,2.2,0.3,2020,75.4,2.2,0.8
2938,2021-05-01,Home,W,2.0,0.0,FUL,1.7,0.3,49.0,CHE,51.0,4.0,33.0,58.0,55.0,18.0,33.0,27.0,26.0,88.4,2.3,0.2,2020,70.0,1.7,0.7
2956,2021-05-08,Away,W,2.0,1.0,MCI,0.7,1.8,52.0,CHE,48.0,4.0,34.0,61.0,58.0,1.0,34.0,80.0,77.0,89.4,2.3,0.2,2020,93.3,2.8,0.2
2979,2021-05-12,Home,L,0.0,1.0,ARS,1.8,0.6,67.0,CHE,33.0,4.0,36.0,64.0,61.0,9.0,36.0,55.0,49.0,89.9,2.4,0.2,2020,83.0,2.2,0.4
3007,2021-05-18,Home,W,2.0,1.0,LEI,3.1,0.8,58.0,CHE,42.0,4.0,36.0,64.0,64.0,3.0,36.0,66.0,66.0,89.9,2.4,0.2,2020,79.7,2.1,0.6
3034,2021-05-23,Away,L,1.0,2.0,AVL,3.3,1.1,71.0,CHE,29.0,3.0,37.0,67.0,64.0,11.0,37.0,52.0,49.0,90.0,2.4,0.2,2020,72.2,2.0,0.8
3054,2021-08-14,Home,W,3.0,0.0,CRY,0.7,0.2,62.0,CHE,38.0,,,,,,,,,88.5,2.4,0.3,2021,62.2,1.7,1.0
3072,2021-08-22,Away,W,2.0,0.0,ARS,3.1,0.3,65.0,CHE,35.0,2.0,1.0,3.0,,17.0,1.0,0.0,,89.6,2.5,0.3,2021,78.0,2.1,0.6
3085,2021-08-28,Away,D,1.0,1.0,LIV,0.6,2.5,35.0,CHE,65.0,2.0,2.0,6.0,3.0,3.0,2.0,6.0,3.0,89.1,2.4,0.3,2021,89.3,2.7,0.4
3105,2021-09-11,Home,W,3.0,0.0,AVL,1.3,1.2,57.0,CHE,43.0,4.0,3.0,7.0,6.0,11.0,3.0,4.0,3.0,88.4,2.4,0.3,2021,72.2,2.0,0.8
3138,2021-09-19,Away,W,3.0,0.0,TOT,2.1,0.5,53.0,CHE,47.0,2.0,4.0,10.0,7.0,7.0,4.0,9.0,9.0,89.3,2.4,0.3,2021,74.7,2.1,0.8
3147,2021-09-25,Home,L,0.0,1.0,MCI,0.2,1.7,41.0,CHE,59.0,1.0,5.0,13.0,10.0,5.0,5.0,10.0,9.0,88.9,2.4,0.3,2021,93.6,2.9,0.2
3163,2021-10-02,Home,W,3.0,1.0,SOU,3.3,1.3,62.0,CHE,38.0,3.0,6.0,13.0,13.0,16.0,6.0,4.0,4.0,88.9,2.4,0.3,2021,67.7,1.8,0.8
3186,2021-10-16,Away,W,1.0,0.0,BRE,0.3,1.4,55.0,CHE,45.0,1.0,7.0,16.0,13.0,7.0,7.0,12.0,9.0,87.8,2.4,0.3,2021,71.1,1.8,0.7
3211,2021-10-23,Home,W,7.0,0.0,NOR,3.1,0.1,62.0,CHE,38.0,1.0,8.0,19.0,16.0,20.0,8.0,2.0,1.0,88.9,2.4,0.3,2021,55.8,1.5,1.1
3223,2021-10-30,Away,W,3.0,0.0,NEW,2.2,0.2,79.0,CHE,21.0,1.0,9.0,22.0,19.0,19.0,9.0,4.0,3.0,89.7,2.4,0.3,2021,60.8,1.8,1.1
3245,2021-11-06,Home,D,1.0,1.0,BUR,1.8,0.7,70.0,CHE,30.0,1.0,10.0,25.0,22.0,18.0,10.0,7.0,4.0,89.5,2.5,0.3,2021,65.8,1.8,1.0
3275,2021-11-20,Away,W,3.0,0.0,LEI,2.0,0.4,61.0,CHE,39.0,1.0,11.0,26.0,25.0,12.0,11.0,15.0,14.0,91.0,2.5,0.2,2021,72.5,2.0,0.8
3293,2021-11-28,Home,D,1.0,1.0,MUN,2.7,0.9,65.0,CHE,35.0,1.0,12.0,29.0,26.0,8.0,12.0,17.0,17.0,90.5,2.5,0.2,2021,79.0,2.3,0.7
3309,2021-12-01,Away,W,2.0,1.0,WAT,0.9,1.0,49.0,CHE,51.0,1.0,13.0,30.0,29.0,16.0,13.0,13.0,13.0,90.5,2.5,0.2,2021,63.4,1.8,1.0
3318,2021-12-04,Away,L,2.0,3.0,WHU,1.1,1.8,63.0,CHE,37.0,1.0,14.0,33.0,30.0,4.0,14.0,24.0,23.0,90.5,2.5,0.2,2021,77.8,2.1,0.7
3349,2021-12-11,Home,W,3.0,2.0,LEE,2.5,1.4,57.0,CHE,43.0,3.0,15.0,33.0,33.0,15.0,15.0,16.0,15.0,89.4,2.6,0.3,2021,70.1,1.9,0.8
3369,2021-12-16,Home,D,1.0,1.0,EVE,2.9,0.6,80.0,CHE,20.0,3.0,16.0,36.0,33.0,14.0,16.0,18.0,18.0,88.7,2.6,0.4,2021,69.1,1.9,0.8
3373,2021-12-19,Away,D,0.0,0.0,WOL,0.9,0.2,63.0,CHE,37.0,3.0,17.0,37.0,36.0,8.0,17.0,24.0,21.0,89.0,2.5,0.3,2021,72.4,1.7,0.6
3380,2021-12-26,Away,W,3.0,1.0,AVL,2.6,0.4,58.0,CHE,42.0,3.0,18.0,38.0,37.0,10.0,17.0,22.0,19.0,88.6,2.5,0.4,2021,72.6,2.0,0.8
3402,2021-12-29,Home,D,1.0,1.0,BHA,0.7,0.9,47.0,CHE,53.0,3.0,19.0,41.0,38.0,9.0,17.0,23.0,20.0,88.6,2.5,0.4,2021,77.3,1.9,0.5
3412,2022-01-02,Home,D,2.0,2.0,LIV,1.2,1.3,54.0,CHE,46.0,2.0,20.0,42.0,41.0,3.0,19.0,41.0,41.0,88.6,2.5,0.4,2021,92.1,3.0,0.4
3437,2022-01-15,Away,L,0.0,1.0,MCI,0.3,1.0,44.0,CHE,56.0,2.0,21.0,43.0,42.0,1.0,21.0,53.0,50.0,88.6,2.5,0.4,2021,93.9,3.0,0.2
3443,2022-01-18,Away,D,1.0,1.0,BHA,0.7,0.7,56.0,CHE,44.0,3.0,23.0,44.0,43.0,9.0,21.0,29.0,27.0,88.3,2.5,0.3,2021,78.3,2.0,0.5
3460,2022-01-23,Home,W,2.0,0.0,TOT,1.2,0.5,64.0,CHE,36.0,3.0,23.0,44.0,44.0,5.0,19.0,36.0,33.0,89.0,2.4,0.3,2021,80.0,2.2,0.6
3514,2022-02-19,Away,W,1.0,0.0,CRY,0.9,0.5,58.0,CHE,42.0,3.0,24.0,47.0,44.0,13.0,24.0,26.0,25.0,89.0,2.4,0.3,2021,70.8,1.9,0.8
3557,2022-03-05,Away,W,4.0,0.0,BUR,2.3,0.7,72.0,CHE,28.0,3.0,25.0,50.0,47.0,18.0,25.0,21.0,20.0,88.9,2.4,0.3,2021,66.3,1.7,0.8
3581,2022-03-10,Away,W,3.0,1.0,NOR,1.8,1.0,66.0,CHE,34.0,3.0,27.0,56.0,50.0,20.0,28.0,17.0,17.0,89.7,2.5,0.3,2021,53.0,1.5,1.2
3588,2022-03-13,Home,W,1.0,0.0,NEW,1.1,0.3,71.0,CHE,29.0,3.0,27.0,56.0,56.0,14.0,27.0,31.0,31.0,88.7,2.4,0.3,2021,66.7,1.8,0.9
3623,2022-04-02,Home,L,1.0,4.0,BRE,1.3,1.8,70.0,CHE,30.0,3.0,28.0,59.0,56.0,15.0,30.0,30.0,30.0,86.2,2.4,0.4,2021,70.4,1.9,0.8
3643,2022-04-09,Away,W,6.0,0.0,SOU,4.2,0.5,70.0,CHE,30.0,3.0,29.0,59.0,59.0,12.0,30.0,36.0,35.0,86.2,2.4,0.4,2021,69.7,1.9,0.9
3677,2022-04-20,Home,L,2.0,4.0,ARS,0.7,2.0,67.0,CHE,33.0,3.0,30.0,62.0,59.0,5.0,32.0,57.0,54.0,87.6,2.5,0.4,2021,82.4,2.2,0.5
3697,2022-04-24,Home,W,1.0,0.0,WHU,3.0,0.5,66.0,CHE,34.0,3.0,31.0,62.0,62.0,7.0,33.0,52.0,51.0,88.0,2.5,0.4,2021,72.1,2.0,0.8
3703,2022-04-28,Away,D,1.0,1.0,MUN,1.9,0.5,64.0,CHE,36.0,3.0,31.0,62.0,62.0,6.0,33.0,54.0,54.0,88.0,2.5,0.4,2021,76.5,2.1,0.7
3719,2022-05-01,Away,L,0.0,1.0,EVE,0.8,0.8,77.0,CHE,23.0,3.0,33.0,66.0,62.0,18.0,32.0,29.0,29.0,88.2,2.5,0.4,2021,64.3,1.7,0.9
3728,2022-05-07,Home,D,2.0,2.0,WOL,1.7,2.0,59.0,CHE,41.0,3.0,34.0,66.0,66.0,8.0,34.0,49.0,49.0,88.2,2.5,0.4,2021,68.8,1.7,0.7
3752,2022-05-11,Away,W,3.0,0.0,LEE,1.3,0.4,67.0,CHE,33.0,3.0,36.0,70.0,66.0,18.0,36.0,34.0,34.0,87.7,2.5,0.4,2021,61.8,1.8,1.1
3775,2022-05-19,Home,D,1.0,1.0,LEI,1.6,0.1,67.0,CHE,33.0,3.0,36.0,70.0,70.0,10.0,35.0,45.0,45.0,87.7,2.5,0.4,2021,70.6,2.0,0.9
3783,2022-05-22,Home,W,2.0,1.0,WAT,2.2,0.6,71.0,CHE,29.0,3.0,37.0,71.0,70.0,19.0,37.0,23.0,23.0,88.4,2.4,0.3,2021,55.3,1.6,1.2
3802,2022-08-06,Away,W,1.0,0.0,EVE,1.5,0.7,62.0,CHE,38.0,,,,,,,,,86.0,2.4,0.4,2022,63.7,1.7,1.0
3837,2022-08-14,Home,D,2.0,2.0,TOT,1.6,1.0,63.0,CHE,37.0,8.0,1.0,3.0,,1.0,1.0,3.0,,85.8,2.4,0.4,2022,82.1,2.4,0.6
3856,2022-08-21,Away,L,0.0,3.0,LEE,0.9,2.1,61.0,CHE,39.0,7.0,2.0,4.0,3.0,6.0,2.0,4.0,3.0,84.0,2.3,0.5,2022,64.8,1.9,1.0
3860,2022-08-27,Home,W,2.0,1.0,LEI,1.8,2.5,45.0,CHE,55.0,12.0,3.0,4.0,4.0,19.0,3.0,1.0,1.0,81.9,2.3,0.6,2022,69.5,2.0,0.9
3882,2022-08-30,Away,L,1.0,2.0,SOU,1.1,1.1,67.0,CHE,33.0,6.0,4.0,7.0,4.0,13.0,4.0,4.0,4.0,81.9,2.3,0.6,2022,63.5,1.8,1.0
3903,2022-09-03,Home,W,2.0,1.0,WHU,0.9,1.1,67.0,CHE,33.0,10.0,5.0,7.0,7.0,14.0,5.0,4.0,3.0,81.9,2.3,0.6,2022,70.4,1.8,0.8
3935,2022-10-01,Away,W,2.0,1.0,CRY,1.1,0.4,64.0,CHE,36.0,6.0,6.0,10.0,7.0,16.0,6.0,6.0,5.0,82.4,2.2,0.5,2022,69.6,1.8,0.8
3957,2022-10-08,Home,W,3.0,0.0,WOL,1.9,1.1,57.0,CHE,43.0,5.0,7.0,13.0,10.0,18.0,8.0,6.0,6.0,82.4,2.2,0.5,2022,67.1,1.7,0.8
3993,2022-10-16,Away,W,2.0,0.0,AVL,0.9,1.8,58.0,CHE,42.0,4.0,8.0,16.0,13.0,16.0,9.0,9.0,8.0,83.4,2.2,0.5,2022,73.0,1.8,0.7
4007,2022-10-19,Away,D,0.0,0.0,BRE,0.9,1.3,66.0,CHE,34.0,4.0,9.0,19.0,16.0,9.0,10.0,13.0,10.0,83.4,2.2,0.5,2022,69.0,1.9,0.9
4019,2022-10-22,Home,D,1.0,1.0,MUN,1.1,0.8,48.0,CHE,52.0,4.0,10.0,20.0,19.0,5.0,10.0,19.0,16.0,83.4,2.2,0.5,2022,78.3,2.2,0.7
4034,2022-10-29,Away,L,1.0,4.0,BHA,1.4,2.4,59.0,CHE,41.0,5.0,11.0,21.0,20.0,9.0,11.0,15.0,15.0,83.8,2.3,0.5,2022,77.5,2.0,0.6
4067,2022-11-06,Home,L,0.0,1.0,ARS,0.3,2.1,45.0,CHE,55.0,6.0,12.0,21.0,21.0,1.0,12.0,31.0,28.0,81.5,2.2,0.5,2022,85.3,2.3,0.4
4079,2022-11-12,Away,L,0.0,1.0,NEW,0.3,1.0,51.0,CHE,49.0,7.0,13.0,21.0,21.0,3.0,14.0,27.0,24.0,81.0,2.2,0.5,2022,79.9,2.2,0.6
4109,2022-12-27,Home,W,2.0,0.0,BOU,1.8,0.5,60.0,CHE,40.0,8.0,14.0,21.0,21.0,14.0,15.0,16.0,13.0,81.0,2.1,0.5,2022,56.7,1.6,1.1
4131,2023-01-01,Away,D,1.0,1.0,NFO,0.9,1.4,71.0,CHE,29.0,8.0,15.0,24.0,21.0,19.0,16.0,13.0,13.0,80.3,2.1,0.5,2022,57.4,1.5,1.0
4151,2023-01-05,Home,L,0.0,1.0,MCI,0.4,2.1,48.0,CHE,52.0,8.0,16.0,25.0,24.0,2.0,16.0,36.0,35.0,80.0,2.1,0.5,2022,91.4,2.8,0.3
4152,2023-01-12,Away,L,1.0,2.0,FUL,2.1,1.0,52.0,CHE,48.0,8.0,16.0,25.0,25.0,7.0,17.0,25.0,25.0,80.3,2.1,0.5,2022,66.8,1.9,1.0
4169,2023-01-15,Home,W,1.0,0.0,CRY,1.5,0.7,61.0,CHE,39.0,10.0,18.0,25.0,25.0,12.0,17.0,22.0,22.0,80.3,2.1,0.5,2022,66.2,1.7,0.8
4178,2023-01-21,Away,D,0.0,0.0,LIV,1.6,1.4,52.0,CHE,48.0,10.0,19.0,28.0,25.0,9.0,18.0,28.0,28.0,81.1,2.1,0.5,2022,83.8,2.6,0.7
4198,2023-02-03,Home,D,0.0,0.0,FUL,1.3,0.6,66.0,CHE,34.0,10.0,20.0,29.0,28.0,7.0,21.0,31.0,31.0,80.8,2.0,0.5,2022,68.0,1.9,0.9
4222,2023-02-11,Away,D,1.0,1.0,WHU,1.1,1.3,71.0,CHE,29.0,9.0,21.0,30.0,29.0,17.0,21.0,19.0,18.0,80.8,2.0,0.5,2022,73.3,1.8,0.6
4247,2023-02-18,Home,L,0.0,1.0,SOU,1.6,0.6,62.0,CHE,38.0,10.0,22.0,31.0,30.0,20.0,22.0,15.0,15.0,81.0,2.0,0.5,2022,60.3,1.7,1.0
4276,2023-02-26,Away,L,0.0,2.0,TOT,0.4,0.8,59.0,CHE,41.0,10.0,23.0,31.0,31.0,4.0,24.0,42.0,39.0,80.1,2.0,0.5,2022,78.4,2.2,0.7
4292,2023-03-04,Home,W,1.0,0.0,LEE,1.5,1.0,57.0,CHE,43.0,10.0,24.0,31.0,31.0,17.0,24.0,22.0,19.0,80.1,2.0,0.5,2022,67.3,1.8,0.9
4308,2023-03-11,Away,W,3.0,1.0,LEI,1.6,2.4,52.0,CHE,48.0,10.0,24.0,31.0,31.0,14.0,24.0,24.0,24.0,80.6,2.0,0.4,2022,69.2,1.9,0.9
4336,2023-03-18,Home,D,2.0,2.0,EVE,2.3,1.2,68.0,CHE,32.0,10.0,26.0,37.0,31.0,15.0,27.0,25.0,21.0,80.4,2.0,0.5,2022,61.0,1.7,1.0
4342,2023-04-01,Home,L,0.0,2.0,AVL,2.1,0.9,69.0,CHE,31.0,10.0,27.0,38.0,37.0,11.0,27.0,38.0,35.0,79.6,2.0,0.5,2022,72.9,2.0,0.8
4364,2023-04-04,Home,D,0.0,0.0,LIV,2.2,0.3,49.0,CHE,51.0,11.0,28.0,38.0,38.0,8.0,27.0,42.0,42.0,79.6,2.0,0.5,2022,83.2,2.5,0.7
4377,2023-04-08,Away,L,0.0,1.0,WOL,1.1,0.6,62.0,CHE,38.0,11.0,29.0,39.0,38.0,13.0,29.0,28.0,27.0,80.5,2.0,0.5,2022,64.3,1.7,0.9
4399,2023-04-15,Home,L,1.0,2.0,BHA,0.5,2.9,43.0,CHE,57.0,11.0,30.0,39.0,39.0,7.0,28.0,46.0,46.0,78.4,2.0,0.5,2022,82.5,2.4,0.6
4434,2023-04-26,Home,L,0.0,2.0,BRE,1.3,1.1,71.0,CHE,29.0,11.0,31.0,39.0,39.0,9.0,33.0,47.0,43.0,78.3,2.0,0.5,2022,73.9,2.1,0.8
4,2017-08-12,Home,L,0.0,3.0,HUD,1.1,1.5,56.0,CRY,45.0,,,,,,,,,56.8,1.6,1.1,2017,47.2,1.3,1.2
31,2017-08-19,Away,L,0.0,1.0,LIV,0.7,2.5,29.0,CRY,71.0,19.0,1.0,0.0,,9.0,1.0,1.0,,56.6,1.6,1.1,2017,76.5,2.3,0.8
43,2017-08-26,Home,L,0.0,2.0,SWA,0.9,0.7,53.0,CRY,47.0,19.0,2.0,0.0,0.0,15.0,2.0,1.0,1.0,55.4,1.5,1.1,2017,56.1,1.5,1.1
76,2017-09-10,Away,L,0.0,1.0,BUR,2.0,0.3,64.0,CRY,36.0,19.0,3.0,0.0,0.0,10.0,3.0,4.0,3.0,56.5,1.5,1.1,2017,60.4,1.6,1.0
88,2017-09-16,Home,L,0.0,1.0,SOU,2.0,1.0,46.0,CRY,54.0,20.0,4.0,0.0,0.0,13.0,4.0,5.0,5.0,56.1,1.5,1.1,2017,61.6,1.6,0.9
113,2017-09-23,Away,L,0.0,5.0,MCI,0.6,4.5,29.0,CRY,71.0,20.0,5.0,0.0,0.0,1.0,5.0,13.0,10.0,54.3,1.5,1.1,2017,89.6,3.0,0.5
130,2017-09-30,Away,L,0.0,4.0,MUN,0.4,2.8,41.0,CRY,59.0,20.0,6.0,0.0,0.0,2.0,6.0,16.0,13.0,53.7,1.5,1.2,2017,86.9,2.7,0.5
153,2017-10-14,Home,W,2.0,1.0,CHE,1.7,0.8,43.0,CRY,57.0,20.0,7.0,0.0,0.0,4.0,7.0,13.0,13.0,53.7,1.5,1.2,2017,83.9,2.5,0.6
164,2017-10-21,Away,L,0.0,1.0,NEW,0.5,0.3,46.0,CRY,54.0,20.0,8.0,3.0,0.0,9.0,8.0,11.0,10.0,55.9,1.5,1.1,2017,56.0,1.5,1.0
181,2017-10-28,Home,D,2.0,2.0,WHU,2.6,0.8,55.0,CRY,45.0,20.0,9.0,3.0,3.0,16.0,9.0,8.0,8.0,56.2,1.6,1.1,2017,55.7,1.6,1.2
218,2017-11-05,Away,L,0.0,1.0,TOT,0.8,0.9,32.0,CRY,68.0,20.0,10.0,4.0,3.0,3.0,10.0,20.0,20.0,57.0,1.6,1.1,2017,84.3,2.4,0.5
226,2017-11-18,Home,D,2.0,2.0,EVE,2.0,1.8,69.0,CRY,31.0,20.0,11.0,4.0,4.0,15.0,11.0,11.0,8.0,57.2,1.6,1.1,2017,59.2,1.7,1.1
248,2017-11-25,Home,W,2.0,1.0,STK,1.4,0.7,54.0,CRY,46.0,20.0,12.0,5.0,4.0,15.0,12.0,13.0,12.0,57.2,1.6,1.1,2017,59.6,1.7,1.1
264,2017-11-28,Away,D,0.0,0.0,BHA,0.5,0.6,46.0,CRY,54.0,20.0,13.0,8.0,5.0,9.0,13.0,16.0,16.0,58.1,1.6,1.0,2017,52.5,1.3,1.0
282,2017-12-02,Away,D,0.0,0.0,WBA,0.6,1.9,49.0,CRY,51.0,20.0,14.0,9.0,8.0,17.0,14.0,12.0,11.0,58.1,1.6,1.0,2017,53.1,1.4,1.0
303,2017-12-09,Home,D,2.0,2.0,BOU,3.9,0.7,45.0,CRY,55.0,18.0,15.0,10.0,9.0,14.0,15.0,15.0,14.0,57.8,1.5,1.0,2017,56.1,1.5,1.1
321,2017-12-12,Home,W,2.0,1.0,WAT,1.2,1.2,53.0,CRY,47.0,20.0,16.0,11.0,10.0,9.0,16.0,22.0,22.0,58.9,1.6,1.0,2017,62.5,1.8,1.0
350,2017-12-16,Away,W,3.0,0.0,LEI,1.7,0.9,44.0,CRY,56.0,18.0,17.0,14.0,11.0,8.0,17.0,26.0,23.0,61.6,1.7,1.0,2017,62.3,1.8,1.0
369,2017-12-23,Away,D,1.0,1.0,SWA,1.3,0.5,36.0,CRY,64.0,14.0,18.0,17.0,14.0,20.0,18.0,12.0,12.0,62.0,1.7,1.0,2017,48.8,1.2,1.1
399,2017-12-28,Home,L,2.0,3.0,ARS,1.3,1.8,36.0,CRY,64.0,16.0,19.0,18.0,17.0,6.0,19.0,34.0,33.0,62.0,1.7,1.0,2017,83.6,2.7,0.7
414,2017-12-31,Home,D,0.0,0.0,MCI,1.3,1.3,26.0,CRY,74.0,16.0,20.0,18.0,18.0,1.0,20.0,58.0,55.0,64.1,1.7,0.9,2017,90.6,3.0,0.5
435,2018-01-02,Away,W,2.0,1.0,SOU,1.3,0.4,40.0,CRY,60.0,17.0,21.0,19.0,18.0,13.0,21.0,20.0,19.0,64.1,1.7,0.9,2017,59.7,1.6,1.0
452,2018-01-13,Home,W,1.0,0.0,BUR,1.4,0.7,44.0,CRY,56.0,14.0,22.0,22.0,19.0,7.0,22.0,34.0,34.0,64.1,1.7,0.9,2017,60.4,1.4,0.8
468,2018-01-20,Away,L,1.0,4.0,ARS,0.6,2.9,37.0,CRY,63.0,12.0,23.0,25.0,22.0,6.0,23.0,39.0,39.0,63.1,1.7,1.0,2017,82.7,2.8,0.8
483,2018-01-30,Away,D,1.0,1.0,WHU,0.9,1.1,59.0,CRY,41.0,13.0,24.0,25.0,25.0,11.0,24.0,26.0,25.0,63.1,1.7,1.0,2017,58.2,1.7,1.1
514,2018-02-04,Home,D,1.0,1.0,NEW,3.0,0.9,55.0,CRY,45.0,13.0,25.0,26.0,25.0,14.0,25.0,24.0,23.0,63.0,1.7,1.0,2017,53.7,1.5,1.1
524,2018-02-10,Away,L,1.0,3.0,EVE,1.5,1.5,48.0,CRY,52.0,14.0,26.0,27.0,26.0,10.0,26.0,31.0,31.0,62.0,1.7,1.0,2017,57.6,1.7,1.2
