,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
0,2023-04-01,Home,,,,LEE,,,,ARS,,1,28,69,3.0,14,27,26,1.4,85.5,2.5,0.5,2022,66.6,1.9,1.0
1,2023-04-01,Home,,,,WOL,,,,NFO,,16,27,26,0.4,13,28,27,0.8,54.4,1.5,1.2,2022,64.8,1.7,0.9
2,2023-04-01,Home,,,,LIV,,,,MCI,,2,27,61,2.6,6,26,42,2.0,92.3,2.9,0.3,2022,84.4,2.6,0.6
3,2023-04-01,Away,,,,MCI,,,,LIV,,6,26,42,2.0,2,27,61,2.6,84.4,2.6,0.6,2022,92.3,2.9,0.3
4,2023-04-01,Away,,,,CRY,,,,LEI,,17,27,25,0.2,12,28,27,0.2,69.9,1.9,0.9,2022,67.8,1.6,0.7
5,2023-04-01,Away,,,,BOU,,,,FUL,,9,27,39,1.4,19,27,24,1.2,67.2,1.8,0.9,2022,56.4,1.6,1.2
6,2023-04-01,Away,,,,ARS,,,,LEE,,14,27,26,1.4,1,28,69,3.0,66.6,1.9,1.0,2022,85.5,2.5,0.5
7,2023-04-01,Home,,,,AVL,,,,CHE,,10,27,38,1.4,11,27,38,2.0,79.7,2.0,0.5,2022,72.8,2.0,0.8
8,2023-04-01,Home,,,,BRE,,,,BHA,,7,25,42,1.6,8,27,42,1.6,80.8,2.3,0.6,2022,74.2,2.1,0.8
9,2023-04-01,Away,,,,BHA,,,,BRE,,8,27,42,1.6,7,25,42,1.6,74.2,2.1,0.8,2022,80.8,2.3,0.6
10,2023-04-01,Home,,,,FUL,,,,BOU,,19,27,24,1.2,9,27,39,1.4,56.4,1.6,1.2,2022,67.2,1.8,0.9
11,2023-04-01,Away,,,,CHE,,,,AVL,,11,27,38,2.0,10,27,38,1.4,72.8,2.0,0.8,2022,79.7,2.0,0.5
12,2023-04-01,Home,,,,LEI,,,,CRY,,12,28,27,0.2,17,27,25,0.2,67.8,1.6,0.7,2022,69.9,1.9,0.9
13,2023-04-01,Away,,,,NFO,,,,WOL,,13,28,27,0.8,16,27,26,0.4,64.8,1.7,0.9,2022,54.4,1.5,1.2
14,2023-04-02,Home,,,,SOU,,,,WHU,,17,26,24,1.0,20,28,23,1.0,71.7,1.9,0.7,2022,62.4,1.6,0.9
15,2023-04-02,Away,,,,NEW,,,,MUN,,3,26,50,1.6,5,26,47,1.4,79.6,2.3,0.7,2022,80.3,2.1,0.5
16,2023-04-02,Home,,,,MUN,,,,NEW,,5,26,47,1.4,3,26,50,1.6,80.3,2.1,0.5,2022,79.6,2.3,0.7
17,2023-04-02,Away,,,,WHU,,,,SOU,,20,28,23,1.0,17,26,24,1.0,62.4,1.6,0.9,2022,71.7,1.9,0.7
18,2023-04-03,Home,,,,TOT,,,,EVE,,15,28,26,1.0,4,28,49,2.0,61.4,1.7,1.0,2022,75.8,2.2,0.8
19,2023-04-03,Away,,,,EVE,,,,TOT,,4,28,49,2.0,15,28,26,1.0,75.8,2.2,0.8,2022,61.4,1.7,1.0
