,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Arsenal,15,13,1,1,36,12,24,40,2.6,2022-12-26,ARS,2022
2,2,Manchester City,15,11,2,2,43,15,28,35,2.4,2022-12-28,MCI,2022
4,3,Newcastle United,16,9,6,1,32,11,21,33,3.0,2022-12-26,NEW,2022
6,4,Tottenham Hotspur,16,9,3,4,33,23,10,30,1.4,2022-12-26,TOT,2022
8,5,Manchester United,15,9,2,4,23,20,3,29,2.0,2022-12-27,MUN,2022
10,6,Liverpool,15,7,4,4,31,18,13,25,1.8,2022-12-26,LIV,2022
12,7,Brighton and Hove Albion,15,7,3,5,26,20,6,24,1.8,2022-12-26,BHA,2022
14,8,Chelsea,15,7,3,5,19,17,2,24,0.8,2022-12-27,CHE,2022
16,9,Fulham,16,6,4,6,27,26,1,22,1.4,2022-12-26,FUL,2022
18,10,Brentford,16,4,8,4,25,27,-2,20,1.2,2022-12-26,BRE,2022
20,11,Crystal Palace,15,5,4,6,15,21,-6,19,1.2,2022-12-26,CRY,2022
22,12,Aston Villa,16,5,3,8,17,25,-8,18,1.8,2022-12-26,AVL,2022
24,13,Leicester City,16,5,2,9,25,28,-3,17,1.8,2022-12-26,LEI,2022
26,14,Bournemouth,16,4,4,8,18,34,-16,16,0.6,2022-12-27,BOU,2022
28,15,Leeds United,15,4,3,8,23,29,-6,15,1.2,2022-12-28,LEE,2022
30,16,West Ham United,16,4,2,10,13,20,-7,14,0.6,2022-12-26,WHU,2022
32,17,Everton,16,3,5,8,12,19,-7,14,0.8,2022-12-26,EVE,2022
34,18,Wolverhampton Wanderers,16,3,4,9,10,25,-15,13,0.8,2022-12-26,WOL,2022
36,19,Nottingham Forest,16,3,4,9,11,33,-22,13,1.4,2022-12-27,NFO,2022
38,20,Southampton,16,3,3,10,14,30,-16,12,0.2,2022-12-26,SOU,2022
