,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Arsenal,30,23,4,3,72,29,43,73,2.6,2023-04-09,ARS,2022
2,2,Manchester City,29,21,4,4,75,27,48,67,3.0,2023-04-08,MCI,2022
4,3,Newcastle United,29,15,11,3,48,21,27,56,3.0,2023-04-08,NEW,2022
6,4,Manchester United,29,17,5,7,44,37,7,56,1.4,2023-04-08,MUN,2022
8,5,Tottenham Hotspur,30,16,5,9,55,42,13,53,1.6,2023-04-08,TOT,2022
10,6,Aston Villa,30,14,5,11,41,40,1,47,2.6,2023-04-08,AVL,2022
12,7,Brighton and Hove Albion,28,13,7,8,52,36,16,46,1.6,2023-04-08,BHA,2022
14,8,Liverpool,29,12,8,9,50,35,15,44,1.0,2023-04-09,LIV,2022
16,9,Brentford,30,10,13,7,47,40,7,43,1.0,2023-04-08,BRE,2022
18,10,Fulham,29,11,6,12,39,40,-1,39,0.2,2023-04-08,FUL,2022
20,11,Chelsea,30,10,9,11,29,31,-2,39,1.0,2023-04-08,CHE,2022
22,12,Crystal Palace,30,8,9,13,29,40,-11,33,1.2,2023-04-09,CRY,2022
24,13,Wolverhampton Wanderers,30,8,7,15,24,42,-18,31,1.4,2023-04-08,WOL,2022
26,14,West Ham United,29,8,6,15,27,39,-12,30,1.4,2023-04-08,WHU,2022
28,15,Bournemouth,30,8,6,16,28,57,-29,30,1.8,2023-04-08,BOU,2022
30,16,Leeds United,30,7,8,15,39,54,-15,29,1.4,2023-04-09,LEE,2022
32,17,Everton,30,6,9,15,23,43,-20,27,1.2,2023-04-08,EVE,2022
34,18,Nottingham Forest,30,6,9,15,24,54,-30,27,0.2,2023-04-08,NFO,2022
36,19,Leicester City,30,7,4,19,40,52,-12,25,0.2,2023-04-08,LEI,2022
38,20,Southampton,30,6,5,19,24,51,-27,23,0.4,2023-04-08,SOU,2022
