,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Arsenal,10,9,0,1,24,10,14,27,2.4,2022-10-16,ARS,2022
2,2,Manchester City,10,7,2,1,33,10,23,23,2.0,2022-10-16,MCI,2022
4,3,Tottenham Hotspur,11,7,2,2,22,12,10,23,1.8,2022-10-19,TOT,2022
6,4,Chelsea,10,6,2,2,15,10,5,20,2.6,2022-10-19,CHE,2022
8,5,Manchester United,10,6,1,3,15,15,0,19,2.0,2022-10-19,MUN,2022
10,6,Newcastle United,11,4,6,1,18,9,9,18,2.2,2022-10-19,NEW,2022
12,7,Liverpool,10,4,4,2,22,12,10,16,1.6,2022-10-19,LIV,2022
14,8,Brighton and Hove Albion,10,4,3,3,14,11,3,15,1.0,2022-10-18,BHA,2022
16,9,Fulham,11,4,3,4,19,20,-1,15,1.4,2022-10-20,FUL,2022
18,10,Brentford,11,3,5,3,18,17,1,14,1.0,2022-10-19,BRE,2022
20,11,Crystal Palace,10,3,4,3,12,13,-1,13,1.6,2022-10-18,CRY,2022
22,12,Bournemouth,11,3,4,4,10,23,-13,13,1.2,2022-10-19,BOU,2022
24,13,West Ham United,11,3,2,6,9,12,-3,11,1.4,2022-10-19,WHU,2022
26,14,Southampton,11,3,2,6,10,18,-8,11,0.8,2022-10-19,SOU,2022
28,15,Everton,11,2,4,5,8,12,-4,10,1.2,2022-10-19,EVE,2022
30,16,Leeds United,10,2,3,5,11,15,-4,9,0.2,2022-10-20,LEE,2022
32,17,Aston Villa,11,2,3,6,7,16,-9,9,1.0,2022-10-20,AVL,2022
34,18,Wolverhampton Wanderers,11,2,3,6,5,14,-9,9,0.6,2022-10-18,WOL,2022
36,19,Leicester City,11,2,2,7,17,24,-7,8,1.4,2022-10-20,LEI,2022
38,20,Nottingham Forest,11,1,3,7,7,23,-16,6,0.4,2022-10-18,NFO,2022
