,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Arsenal,33,23,6,4,78,38,40,75,1.2,2023-04-26,ARS,2022
2,2,Manchester City,31,23,4,4,82,29,53,73,3.0,2023-04-26,MCI,2022
4,3,Newcastle United,32,17,11,4,58,26,32,62,2.4,2023-04-27,NEW,2022
6,4,Manchester United,31,18,6,7,48,39,9,60,2.0,2023-04-27,MUN,2022
8,5,Tottenham Hotspur,33,16,6,11,60,53,7,54,1.0,2023-04-27,TOT,2022
10,6,Aston Villa,33,16,6,11,46,41,5,54,2.6,2023-04-25,AVL,2022
12,7,Liverpool,32,15,8,9,61,39,22,53,2.2,2023-04-26,LIV,2022
14,8,Brighton and Hove Albion,30,14,7,9,55,40,15,49,1.4,2023-04-26,BHA,2022
16,9,Brentford,33,11,14,8,50,43,7,47,0.8,2023-04-26,BRE,2022
18,10,Fulham,32,13,6,13,44,43,1,45,1.2,2023-04-25,FUL,2022
20,11,Chelsea,32,10,9,13,30,35,-5,39,0.2,2023-04-26,CHE,2022
22,12,Crystal Palace,33,9,10,14,31,42,-11,37,2.0,2023-04-25,CRY,2022
24,13,Wolverhampton Wanderers,33,10,7,16,29,44,-15,37,2.0,2023-04-25,WOL,2022
26,14,Bournemouth,33,10,6,17,32,63,-31,36,1.8,2023-04-27,BOU,2022
28,15,West Ham United,32,9,7,16,34,43,-9,34,1.4,2023-04-26,WHU,2022
30,16,Leeds United,33,7,9,17,42,63,-21,30,0.8,2023-04-25,LEE,2022
32,17,Nottingham Forest,33,7,9,17,29,60,-31,30,0.6,2023-04-26,NFO,2022
34,18,Leicester City,33,8,5,20,44,57,-13,29,0.8,2023-04-25,LEI,2022
36,19,Everton,33,6,10,17,25,50,-25,28,0.4,2023-04-27,EVE,2022
38,20,Southampton,33,6,6,21,27,57,-30,24,0.2,2023-04-27,SOU,2022
