,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Arsenal,31,23,5,3,74,31,43,74,2.2,2023-04-16,ARS,2022
2,2,Manchester City,30,22,4,4,78,28,50,70,3.0,2023-04-15,MCI,2022
4,3,Manchester United,30,18,5,7,46,37,9,59,2.0,2023-04-16,MUN,2022
6,4,Newcastle United,30,15,11,4,48,24,24,56,2.4,2023-04-15,NEW,2022
8,5,Tottenham Hotspur,31,16,5,10,57,45,12,53,1.6,2023-04-15,TOT,2022
10,6,Aston Villa,31,15,5,11,44,40,4,50,3.0,2023-04-15,AVL,2022
12,7,Brighton and Hove Albion,29,14,7,8,54,37,17,49,2.0,2023-04-15,BHA,2022
14,8,Liverpool,30,13,8,9,56,36,20,47,1.0,2023-04-17,LIV,2022
16,9,Brentford,31,10,13,8,47,42,5,43,0.4,2023-04-15,BRE,2022
18,10,Fulham,30,12,6,12,42,41,1,42,0.6,2023-04-15,FUL,2022
20,11,Chelsea,31,10,9,12,30,33,-3,39,0.4,2023-04-15,CHE,2022
22,12,Crystal Palace,31,9,9,13,31,40,-9,36,1.8,2023-04-15,CRY,2022
24,13,Wolverhampton Wanderers,31,9,7,15,26,42,-16,34,1.4,2023-04-15,WOL,2022
26,14,Bournemouth,31,9,6,16,31,59,-28,33,1.8,2023-04-15,BOU,2022
28,15,West Ham United,30,8,7,15,29,41,-12,31,1.6,2023-04-16,WHU,2022
30,16,Leeds United,31,7,8,16,40,60,-20,29,1.2,2023-04-17,LEE,2022
32,17,Everton,31,6,9,16,24,46,-22,27,1.0,2023-04-15,EVE,2022
34,18,Nottingham Forest,31,6,9,16,24,56,-32,27,0.2,2023-04-16,NFO,2022
36,19,Leicester City,31,7,4,20,41,55,-14,25,0.2,2023-04-15,LEI,2022
38,20,Southampton,31,6,5,20,24,53,-29,23,0.2,2023-04-15,SOU,2022
