,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Arsenal,16,14,1,1,40,14,26,43,3.0,2022-12-31,ARS,2022
2,2,Manchester City,16,11,3,2,44,16,28,36,2.0,2022-12-31,MCI,2022
4,3,Newcastle United,17,9,7,1,32,11,21,34,2.6,2022-12-31,NEW,2022
6,4,Manchester United,16,10,2,4,24,20,4,32,2.4,2022-12-31,MUN,2022
8,5,Tottenham Hotspur,17,9,3,5,33,25,8,30,1.4,2023-01-01,TOT,2022
10,6,Liverpool,16,8,4,4,33,19,14,28,2.4,2022-12-30,LIV,2022
12,7,Fulham,17,7,4,6,29,27,2,25,1.4,2022-12-31,FUL,2022
14,8,Chelsea,16,7,4,5,20,18,2,25,0.8,2023-01-01,CHE,2022
16,9,Brighton and Hove Albion,16,7,3,6,28,24,4,24,1.8,2022-12-31,BHA,2022
18,10,Brentford,17,5,8,4,27,27,0,23,1.8,2022-12-30,BRE,2022
20,11,Crystal Palace,16,6,4,6,17,21,-4,22,1.8,2022-12-31,CRY,2022
22,12,Aston Villa,17,6,3,8,19,25,-6,21,1.8,2023-01-01,AVL,2022
24,13,Leicester City,17,5,2,10,26,30,-4,17,1.2,2022-12-30,LEI,2022
26,14,Leeds United,16,4,4,8,23,29,-6,16,1.4,2022-12-31,LEE,2022
28,15,Bournemouth,17,4,4,9,18,36,-18,16,0.6,2022-12-31,BOU,2022
30,16,Everton,17,3,6,8,13,20,-7,15,0.4,2022-12-31,EVE,2022
32,17,West Ham United,17,4,2,11,13,22,-9,14,0.0,2022-12-30,WHU,2022
34,18,Nottingham Forest,17,3,5,9,12,34,-22,14,1.0,2023-01-01,NFO,2022
36,19,Wolverhampton Wanderers,17,3,4,10,10,26,-16,13,0.8,2022-12-31,WOL,2022
38,20,Southampton,17,3,3,11,15,32,-17,12,0.0,2022-12-31,SOU,2022
