,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Tottenham Hotspur,1,1,0,0,4,1,3,3,3.0,2022-08-06,TOT,2022
2,2,Bournemouth,1,1,0,0,2,0,2,3,3.0,2022-08-06,BOU,2022
4,3,Arsenal,1,1,0,0,2,0,2,3,3.0,2022-08-05,ARS,2022
6,4,Manchester City,1,1,0,0,2,0,2,3,3.0,2022-08-07,MCI,2022
8,5,Newcastle United,1,1,0,0,2,0,2,3,3.0,2022-08-06,NEW,2022
10,6,Brighton and Hove Albion,1,1,0,0,2,1,1,3,3.0,2022-08-07,BHA,2022
12,7,Leeds United,1,1,0,0,2,1,1,3,3.0,2022-08-06,LEE,2022
14,8,Chelsea,1,1,0,0,1,0,1,3,3.0,2022-08-06,CHE,2022
16,9,Brentford,1,0,1,0,2,2,0,1,1.0,2022-08-07,BRE,2022
18,10,Fulham,1,0,1,0,2,2,0,1,1.0,2022-08-06,FUL,2022
20,11,Leicester City,1,0,1,0,2,2,0,1,1.0,2022-08-07,LEI,2022
22,12,Liverpool,1,0,1,0,2,2,0,1,1.0,2022-08-06,LIV,2022
24,13,Manchester United,1,0,0,1,1,2,-1,0,0.0,2022-08-07,MUN,2022
26,14,Wolverhampton Wanderers,1,0,0,1,1,2,-1,0,0.0,2022-08-06,WOL,2022
28,15,Everton,1,0,0,1,0,1,-1,0,0.0,2022-08-06,EVE,2022
30,16,Aston Villa,1,0,0,1,0,2,-2,0,0.0,2022-08-06,AVL,2022
32,17,Crystal Palace,1,0,0,1,0,2,-2,0,0.0,2022-08-05,CRY,2022
34,18,Nottingham Forest,1,0,0,1,0,2,-2,0,0.0,2022-08-06,NFO,2022
36,19,West Ham United,1,0,0,1,0,2,-2,0,0.0,2022-08-07,WHU,2022
38,20,Southampton,1,0,0,1,1,4,-3,0,0.0,2022-08-06,SOU,2022
