,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Arsenal,27,21,3,3,62,25,37,66,3.0,2023-03-12,ARS,2022
2,2,Manchester City,27,19,4,4,67,25,42,61,2.6,2023-03-11,MCI,2022
4,3,Manchester United,26,15,5,6,41,35,6,50,1.6,2023-03-12,MUN,2022
6,4,Tottenham Hotspur,27,15,3,9,49,37,12,48,1.8,2023-03-11,TOT,2022
8,5,Newcastle United,25,11,11,3,37,18,19,44,1.0,2023-03-12,NEW,2022
10,6,Liverpool,26,12,6,8,47,29,18,42,2.0,2023-03-11,LIV,2022
12,7,Brighton and Hove Albion,25,12,6,7,46,31,15,42,1.6,2023-03-15,BHA,2022
14,8,Brentford,26,10,11,5,42,33,9,41,1.6,2023-03-15,BRE,2022
16,9,Fulham,27,11,6,10,38,37,1,39,1.4,2023-03-12,FUL,2022
18,10,Chelsea,26,10,7,9,27,26,1,37,1.4,2023-03-11,CHE,2022
20,11,Aston Villa,26,10,5,11,32,39,-7,35,1.4,2023-03-12,AVL,2022
22,12,Crystal Palace,27,6,9,12,21,34,-13,27,0.4,2023-03-15,CRY,2022
24,13,Wolverhampton Wanderers,27,7,6,14,20,37,-17,27,0.8,2023-03-12,WOL,2022
26,14,Nottingham Forest,26,6,8,12,21,47,-26,26,0.4,2023-03-11,NFO,2022
28,15,Everton,27,6,7,14,20,38,-18,25,1.4,2023-03-11,EVE,2022
30,16,Leicester City,26,7,3,16,37,46,-9,24,0.6,2023-03-11,LEI,2022
32,17,West Ham United,26,6,6,14,24,34,-10,24,1.0,2023-03-12,WHU,2022
34,18,Bournemouth,26,6,6,14,25,51,-26,24,1.4,2023-03-11,BOU,2022
36,19,Leeds United,26,5,8,13,31,42,-11,23,0.8,2023-03-11,LEE,2022
38,20,Southampton,27,6,4,17,20,43,-23,22,1.4,2023-03-15,SOU,2022
