,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Arsenal,3,3,0,0,9,2,7,9,3.0,2022-08-20,ARS,2022
2,2,Manchester City,3,2,1,0,9,3,6,7,2.3333333333333335,2022-08-21,MCI,2022
4,3,Leeds United,3,2,1,0,7,3,4,7,2.3333333333333335,2022-08-21,LEE,2022
6,4,Tottenham Hotspur,3,2,1,0,7,3,4,7,2.3333333333333335,2022-08-20,TOT,2022
8,5,Brighton and Hove Albion,3,2,1,0,4,1,3,7,2.3333333333333335,2022-08-21,BHA,2022
10,6,Newcastle United,3,1,2,0,5,3,2,5,1.6666666666666667,2022-08-21,NEW,2022
12,7,Fulham,3,1,2,0,5,4,1,5,1.6666666666666667,2022-08-20,FUL,2022
14,8,Brentford,3,1,1,1,8,5,3,4,1.3333333333333333,2022-08-20,BRE,2022
16,9,Crystal Palace,3,1,1,1,4,4,0,4,1.3333333333333333,2022-08-20,CRY,2022
18,10,Nottingham Forest,3,1,1,1,2,3,-1,4,1.3333333333333333,2022-08-20,NFO,2022
20,11,Southampton,3,1,1,1,5,7,-2,4,1.3333333333333333,2022-08-20,SOU,2022
22,12,Chelsea,3,1,1,1,3,5,-2,4,1.3333333333333333,2022-08-21,CHE,2022
24,13,Aston Villa,3,1,0,2,3,6,-3,3,1.0,2022-08-20,AVL,2022
26,14,Manchester United,3,1,0,2,3,7,-4,3,1.0,2022-08-22,MUN,2022
28,15,Bournemouth,3,1,0,2,2,7,-5,3,1.0,2022-08-20,BOU,2022
30,16,Liverpool,3,0,2,1,4,5,-1,2,0.6666666666666666,2022-08-22,LIV,2022
32,17,Everton,3,0,1,2,2,4,-2,1,0.3333333333333333,2022-08-20,EVE,2022
34,18,Wolverhampton Wanderers,3,0,1,2,1,3,-2,1,0.3333333333333333,2022-08-20,WOL,2022
36,19,Leicester City,3,0,1,2,5,8,-3,1,0.3333333333333333,2022-08-20,LEI,2022
38,20,West Ham United,3,0,0,3,0,5,-5,0,0.0,2022-08-21,WHU,2022
