,team,spi,off,def,date
0,Man City,93.2,2.8,0.2,2021-05-12
1,Man United,87.2,2.5,0.4,2021-05-12
2,Leicester,79.9,2.1,0.6,2021-05-12
3,Chelsea,89.9,2.4,0.2,2021-05-12
4,Liverpool,88.1,2.6,0.4,2021-05-12
5,West Ham,74.3,2.1,0.8,2021-05-12
6,Tottenham,76.6,2.2,0.8,2021-05-12
7,Everton,73.5,1.9,0.7,2021-05-12
8,Arsenal,83.0,2.2,0.4,2021-05-12
9,Leeds United,72.9,2.1,0.8,2021-05-12
10,Aston Villa,73.7,2.0,0.7,2021-05-12
11,Wolves,70.9,1.8,0.7,2021-05-12
12,Southamon,66.8,1.9,0.9,2021-05-12
13,Crystal Palace,61.1,1.6,1.0,2021-05-12
14,Newcastle,64.7,1.8,1.0,2021-05-12
15,Burnley,69.1,1.9,0.9,2021-05-12
16,Brighton,79.1,1.9,0.5,2021-05-12
17,Fulham,68.6,1.7,0.7,2021-05-12
18,West Brom,61.0,1.8,1.1,2021-05-12
19,Sheffield Utd,54.1,1.4,1.1,2021-05-12
