,team,spi,off,def,date
0,Man City,94.1,3.1,0.2,2020-09-09
1,Liverpool,91.1,2.8,0.3,2020-09-09
2,Man United,86.8,2.4,0.4,2020-09-09
3,Chelsea,85.4,2.5,0.5,2020-09-09
4,Tottenham,78.5,2.1,0.6,2020-09-09
5,Leicester,79.0,2.1,0.6,2020-09-09
6,Arsenal,77.2,2.1,0.7,2020-09-09
7,Wolves,78.0,1.9,0.5,2020-09-09
8,Everton,74.0,1.9,0.7,2020-09-09
9,Southamon,72.5,2.0,0.8,2020-09-09
10,West Ham,70.4,2.0,0.9,2020-09-09
11,Burnley,69.1,1.8,0.8,2020-09-09
12,Sheffield Utd,69.2,1.7,0.7,2020-09-09
13,Brighton,68.0,1.8,0.8,2020-09-09
14,Crystal Palace,67.7,1.7,0.8,2020-09-09
15,Aston Villa,66.5,1.8,0.9,2020-09-09
16,Newcastle,64.7,1.7,0.9,2020-09-09
17,Fulham,64.2,1.7,0.9,2020-09-09
18,Leeds United,64.1,1.7,0.9,2020-09-09
19,West Brom,61.7,1.6,1.0,2020-09-09
