,team,spi,off,def,date
0,Man City,93.7,2.9,0.2,2021-03-21
1,Man United,87.8,2.4,0.3,2021-03-21
2,Leicester,79.3,2.1,0.5,2021-03-21
3,Chelsea,89.4,2.3,0.2,2021-03-21
4,Liverpool,87.8,2.5,0.4,2021-03-21
5,Tottenham,80.8,2.2,0.6,2021-03-21
6,West Ham,77.4,2.1,0.7,2021-03-21
7,Everton,71.5,1.9,0.8,2021-03-21
8,Arsenal,83.1,2.3,0.5,2021-03-21
9,Aston Villa,73.4,1.9,0.7,2021-03-21
10,Leeds United,71.5,2.1,0.9,2021-03-21
11,Wolves,73.0,1.8,0.6,2021-03-21
12,Southamon,70.1,1.9,0.8,2021-03-21
13,Crystal Palace,60.9,1.6,1.0,2021-03-21
14,Brighton,78.0,2.0,0.5,2021-03-21
15,Burnley,67.6,1.7,0.8,2021-03-21
16,Newcastle,62.2,1.6,0.9,2021-03-21
17,Fulham,70.8,1.7,0.6,2021-03-21
18,West Brom,57.1,1.5,1.1,2021-03-21
19,Sheffield Utd,58.3,1.5,1.0,2021-03-21
