,team,spi,off,def,date
0,Man City,93.7,2.9,0.2,2021-01-13
1,Liverpool,88.6,2.6,0.4,2021-01-13
2,Man United,85.1,2.5,0.5,2021-01-13
3,Tottenham,81.5,2.3,0.6,2021-01-13
4,Chelsea,85.8,2.4,0.5,2021-01-13
5,Leicester,79.1,2.1,0.6,2021-01-13
6,Aston Villa,78.5,2.2,0.7,2021-01-13
7,Everton,74.8,2.0,0.7,2021-01-13
8,Southamon,74.7,1.9,0.6,2021-01-13
9,Arsenal,80.5,2.2,0.6,2021-01-13
10,West Ham,75.5,2.0,0.7,2021-01-13
11,Leeds United,68.2,2.1,1.1,2021-01-13
12,Wolves,73.9,1.8,0.6,2021-01-13
13,Crystal Palace,66.1,1.8,0.9,2021-01-13
14,Brighton,72.8,1.9,0.7,2021-01-13
15,Burnley,67.0,1.6,0.7,2021-01-13
16,Newcastle,62.5,1.6,0.9,2021-01-13
17,Fulham,65.9,1.7,0.9,2021-01-13
18,Sheffield Utd,63.4,1.6,0.8,2021-01-13
19,West Brom,51.6,1.5,1.2,2021-01-13
