,team,spi,off,def,date
0,Man City,93.8,2.9,0.2,2021-03-10
1,Man United,87.8,2.5,0.4,2021-03-10
2,Chelsea,89.2,2.3,0.2,2021-03-10
3,Leicester,76.9,2.0,0.6,2021-03-10
4,West Ham,78.0,2.1,0.6,2021-03-10
5,Liverpool,87.7,2.5,0.4,2021-03-10
6,Tottenham,80.0,2.3,0.6,2021-03-10
7,Everton,72.3,1.9,0.7,2021-03-10
8,Arsenal,82.4,2.2,0.5,2021-03-10
9,Aston Villa,74.9,2.0,0.7,2021-03-10
10,Wolves,73.0,1.8,0.6,2021-03-10
11,Leeds United,70.9,2.1,0.9,2021-03-10
12,Southamon,70.2,1.9,0.8,2021-03-10
13,Crystal Palace,61.0,1.6,1.0,2021-03-10
14,Burnley,67.2,1.7,0.8,2021-03-10
15,Brighton,76.7,2.0,0.6,2021-03-10
16,Fulham,71.8,1.7,0.6,2021-03-10
17,Newcastle,62.4,1.6,0.9,2021-03-10
18,West Brom,56.6,1.6,1.1,2021-03-10
19,Sheffield Utd,61.8,1.5,0.9,2021-03-10
