,team,spi,off,def,date
0,Man City,93.5,2.9,0.2,2020-11-25
1,Liverpool,88.6,2.8,0.5,2020-11-25
2,Chelsea,86.4,2.5,0.4,2020-11-25
3,Tottenham,82.4,2.4,0.6,2020-11-25
4,Man United,84.0,2.4,0.5,2020-11-25
5,Leicester,79.8,2.2,0.6,2020-11-25
6,Arsenal,78.7,2.1,0.6,2020-11-25
7,Southamon,74.2,2.0,0.7,2020-11-25
8,Everton,74.0,2.1,0.8,2020-11-25
9,West Ham,75.1,2.1,0.7,2020-11-25
10,Aston Villa,72.9,2.1,0.8,2020-11-25
11,Wolves,76.0,1.8,0.5,2020-11-25
12,Brighton,72.1,1.9,0.7,2020-11-25
13,Leeds United,67.6,1.9,0.9,2020-11-25
14,Crystal Palace,67.2,1.8,0.8,2020-11-25
15,Newcastle,64.8,1.7,0.9,2020-11-25
16,Burnley,66.7,1.7,0.8,2020-11-25
17,Sheffield Utd,65.2,1.6,0.8,2020-11-25
18,Fulham,61.8,1.7,1.0,2020-11-25
19,West Brom,58.6,1.5,1.0,2020-11-25
