,team,spi,off,def,date
0,Man City,92.0,3.0,0.3,2020-10-21
1,Liverpool,88.7,2.8,0.5,2020-10-21
2,Chelsea,83.5,2.4,0.6,2020-10-21
3,Man United,82.7,2.4,0.6,2020-10-21
4,Tottenham,80.6,2.3,0.7,2020-10-21
5,Everton,76.8,2.1,0.7,2020-10-21
6,Arsenal,78.9,2.1,0.6,2020-10-21
7,Leicester,78.7,2.1,0.6,2020-10-21
8,Aston Villa,73.9,2.0,0.8,2020-10-21
9,Wolves,75.6,1.8,0.5,2020-10-21
10,West Ham,74.1,2.1,0.8,2020-10-21
11,Southamon,73.0,2.0,0.8,2020-10-21
12,Brighton,71.5,1.9,0.8,2020-10-21
13,Leeds United,66.4,1.8,0.9,2020-10-21
14,Crystal Palace,66.7,1.7,0.8,2020-10-21
15,Newcastle,64.3,1.7,0.9,2020-10-21
16,Burnley,68.2,1.8,0.8,2020-10-21
17,Sheffield Utd,66.5,1.7,0.8,2020-10-21
18,Fulham,61.5,1.7,1.0,2020-10-21
19,West Brom,58.6,1.6,1.0,2020-10-21
