,team,spi,off,def,date
0,Man City,93.8,2.9,0.2,2021-02-08
1,Man United,86.5,2.6,0.5,2021-02-08
2,Liverpool,88.8,2.6,0.4,2021-02-08
3,Chelsea,86.8,2.3,0.4,2021-02-08
4,Leicester,80.0,2.1,0.5,2021-02-08
5,West Ham,76.0,2.0,0.7,2021-02-08
6,Tottenham,77.9,2.1,0.6,2021-02-08
7,Aston Villa,76.2,2.1,0.7,2021-02-08
8,Everton,73.5,2.0,0.7,2021-02-08
9,Arsenal,80.8,2.1,0.5,2021-02-08
10,Leeds United,69.7,2.1,1.0,2021-02-08
11,Southamon,69.9,1.9,0.8,2021-02-08
12,Wolves,73.1,1.8,0.6,2021-02-08
13,Brighton,75.5,2.0,0.6,2021-02-08
14,Crystal Palace,64.6,1.7,0.9,2021-02-08
15,Burnley,67.9,1.7,0.7,2021-02-08
16,Newcastle,62.8,1.7,0.9,2021-02-08
17,Fulham,65.6,1.7,0.8,2021-02-08
18,Sheffield Utd,64.9,1.6,0.8,2021-02-08
19,West Brom,52.4,1.5,1.3,2021-02-08
