,team,spi,off,def,date
0,Man City,92.4,2.8,0.2,2021-05-29
1,Man United,85.5,2.4,0.5,2021-05-29
2,Liverpool,89.2,2.7,0.4,2021-05-29
3,Chelsea,90.5,2.4,0.2,2021-05-29
4,Leicester,78.2,2.1,0.6,2021-05-29
5,West Ham,76.0,2.2,0.8,2021-05-29
6,Tottenham,78.1,2.3,0.8,2021-05-29
7,Arsenal,83.7,2.2,0.4,2021-05-29
8,Leeds United,74.9,2.1,0.8,2021-05-29
9,Everton,72.3,1.9,0.7,2021-05-29
10,Aston Villa,72.2,2.0,0.8,2021-05-29
11,Wolves,69.6,1.7,0.7,2021-05-29
12,Newcastle,67.8,1.9,0.9,2021-05-29
13,Crystal Palace,61.5,1.7,1.0,2021-05-29
14,Southamon,67.0,1.9,0.9,2021-05-29
15,Brighton,78.7,2.0,0.5,2021-05-29
16,Burnley,66.8,1.9,0.9,2021-05-29
17,Fulham,68.0,1.7,0.7,2021-05-29
18,West Brom,59.7,1.8,1.2,2021-05-29
19,Sheffield Utd,56.3,1.4,1.0,2021-05-29
