,team,spi,off,def,date
0,Man City,93.5,2.9,0.2,2021-04-28
1,Man United,88.7,2.4,0.3,2021-04-28
2,Leicester,79.6,2.1,0.5,2021-04-28
3,Chelsea,88.4,2.3,0.2,2021-04-28
4,Liverpool,88.1,2.6,0.4,2021-04-28
5,West Ham,74.3,2.1,0.8,2021-04-28
6,Tottenham,76.9,2.2,0.7,2021-04-28
7,Everton,73.4,1.9,0.7,2021-04-28
8,Arsenal,83.0,2.2,0.5,2021-04-28
9,Leeds United,72.9,2.1,0.8,2021-04-28
10,Aston Villa,73.9,2.0,0.7,2021-04-28
11,Wolves,69.9,1.7,0.7,2021-04-28
12,Southamon,68.0,1.9,0.9,2021-04-28
13,Crystal Palace,58.8,1.6,1.0,2021-04-28
14,Burnley,69.0,1.9,0.8,2021-04-28
15,Newcastle,64.5,1.8,1.0,2021-04-28
16,Brighton,79.0,1.9,0.5,2021-04-28
17,Fulham,70.0,1.7,0.7,2021-04-28
18,West Brom,59.8,1.7,1.1,2021-04-28
19,Sheffield Utd,57.4,1.5,1.0,2021-04-28
