,team,spi,off,def,date
0,Man City,93.7,2.9,0.2,2021-03-03
1,Man United,86.9,2.4,0.4,2021-03-03
2,Liverpool,88.5,2.6,0.4,2021-03-03
3,Chelsea,88.1,2.3,0.3,2021-03-03
4,Leicester,76.4,1.9,0.6,2021-03-03
5,West Ham,77.7,2.1,0.6,2021-03-03
6,Tottenham,79.2,2.2,0.6,2021-03-03
7,Everton,73.2,1.9,0.7,2021-03-03
8,Arsenal,82.4,2.2,0.5,2021-03-03
9,Aston Villa,75.5,2.0,0.7,2021-03-03
10,Leeds United,71.2,2.1,0.9,2021-03-03
11,Wolves,71.9,1.8,0.7,2021-03-03
12,Southamon,68.4,1.8,0.8,2021-03-03
13,Crystal Palace,62.1,1.6,0.9,2021-03-03
14,Brighton,77.3,2.0,0.6,2021-03-03
15,Burnley,67.4,1.7,0.7,2021-03-03
16,Newcastle,63.0,1.7,0.9,2021-03-03
17,Fulham,70.4,1.7,0.7,2021-03-03
18,West Brom,55.2,1.6,1.1,2021-03-03
19,Sheffield Utd,63.1,1.6,0.8,2021-03-03
