,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,37,31,2,4,91,22,69,95,3.0,2019-05-06,MCI,2018
2,2,Liverpool,37,29,7,1,87,22,65,94,3.0,2019-05-04,LIV,2018
4,3,Chelsea,37,21,8,8,63,39,24,71,1.6,2019-05-05,CHE,2018
6,4,Tottenham Hotspur,37,23,1,13,65,37,28,70,1.2,2019-05-04,TOT,2018
8,5,Arsenal,37,20,7,10,70,50,20,67,0.8,2019-05-05,ARS,2018
10,6,Manchester United,37,19,9,9,65,52,13,66,1.0,2019-05-05,MUN,2018
12,7,Wolverhampton Wanderers,37,16,9,12,47,44,3,57,2.0,2019-05-04,WOL,2018
14,8,Everton,37,15,8,14,52,44,8,53,2.0,2019-05-03,EVE,2018
16,9,Leicester City,37,15,6,16,51,48,3,51,1.4,2019-05-06,LEI,2018
18,10,Watford,37,14,8,15,51,55,-4,50,0.8,2019-05-05,WAT,2018
20,11,West Ham United,37,14,7,16,48,54,-6,49,1.4,2019-05-04,WHU,2018
22,12,Crystal Palace,37,13,7,17,46,50,-4,46,2.0,2019-05-04,CRY,2018
24,13,Bournemouth,37,13,6,18,53,65,-12,45,1.4,2019-05-04,BOU,2018
26,14,Newcastle United,37,11,9,17,38,48,-10,42,1.4,2019-05-04,NEW,2018
28,15,Burnley,37,11,7,19,44,65,-21,40,1.4,2019-05-03,BUR,2018
30,16,Southampton,37,9,11,17,44,64,-20,38,1.0,2019-05-04,SOU,2018
32,17,Brighton and Hove Albion,37,9,9,19,34,56,-22,36,0.6,2019-05-05,BHA,2018
34,18,Cardiff City,37,9,4,24,32,69,-37,31,0.6,2019-05-04,CAR,2018
36,19,Fulham,37,7,5,25,34,77,-43,26,1.8,2019-05-04,FUL,2018
38,20,Huddersfield Town,37,3,6,28,21,75,-54,15,0.2,2019-05-05,HUD,2018
