,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,27,21,2,4,74,20,54,65,2.4,2019-02-10,MCI,2018
2,2,Liverpool,26,20,5,1,59,15,44,65,2.2,2019-02-09,LIV,2018
4,3,Tottenham Hotspur,26,20,0,6,54,25,29,60,2.4,2019-02-10,TOT,2018
6,4,Manchester United,26,15,6,5,52,35,17,51,2.6,2019-02-09,MUN,2018
8,5,Arsenal,26,15,5,6,53,37,16,50,1.8,2019-02-09,ARS,2018
10,6,Chelsea,26,15,5,6,45,29,16,50,1.2,2019-02-10,CHE,2018
12,7,Wolverhampton Wanderers,26,11,6,9,34,33,1,39,2.0,2019-02-11,WOL,2018
14,8,Watford,26,10,7,9,34,34,0,37,1.6,2019-02-09,WAT,2018
16,9,Everton,27,9,6,12,36,39,-3,33,0.6,2019-02-09,EVE,2018
18,10,West Ham United,26,9,6,11,32,39,-7,33,1.0,2019-02-09,WHU,2018
20,11,Bournemouth,26,10,3,13,37,47,-10,33,1.2,2019-02-09,BOU,2018
22,12,Leicester City,26,9,5,12,31,34,-3,32,0.2,2019-02-10,LEI,2018
24,13,Crystal Palace,26,7,6,13,27,34,-7,27,1.0,2019-02-09,CRY,2018
26,14,Brighton and Hove Albion,26,7,6,13,28,39,-11,27,0.2,2019-02-09,BHA,2018
28,15,Burnley,26,7,6,13,29,47,-18,27,1.8,2019-02-09,BUR,2018
30,16,Newcastle United,26,6,7,13,22,34,-12,25,1.4,2019-02-11,NEW,2018
32,17,Cardiff City,26,7,4,15,24,47,-23,25,1.4,2019-02-09,CAR,2018
34,18,Southampton,26,5,9,12,28,44,-16,24,1.6,2019-02-09,SOU,2018
36,19,Fulham,26,4,5,17,25,58,-33,17,0.6,2019-02-09,FUL,2018
38,20,Huddersfield Town,26,2,5,19,14,48,-34,11,0.2,2019-02-09,HUD,2018
