,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,35,29,2,4,89,22,67,89,3.0,2019-04-24,MCI,2018
2,2,Liverpool,35,27,7,1,79,20,59,88,3.0,2019-04-21,LIV,2018
4,3,Tottenham Hotspur,35,23,1,11,65,35,30,70,1.8,2019-04-23,TOT,2018
6,4,Chelsea,35,20,7,8,59,38,21,67,2.0,2019-04-22,CHE,2018
8,5,Arsenal,35,20,6,9,69,46,23,66,1.2,2019-04-24,ARS,2018
10,6,Manchester United,35,19,7,9,63,50,13,64,1.2,2019-04-24,MUN,2018
12,7,Wolverhampton Wanderers,35,14,9,12,44,43,1,51,1.4,2019-04-24,WOL,2018
14,8,Watford,35,14,8,13,50,50,0,50,1.4,2019-04-23,WAT,2018
16,9,Everton,35,14,7,14,50,44,6,49,2.4,2019-04-21,EVE,2018
18,10,Leicester City,35,14,6,15,48,47,1,48,2.0,2019-04-20,LEI,2018
20,11,West Ham United,35,12,7,16,44,54,-10,43,0.8,2019-04-20,WHU,2018
22,12,Crystal Palace,35,12,6,17,43,48,-5,42,1.8,2019-04-21,CRY,2018
24,13,Newcastle United,35,11,8,16,35,44,-9,41,1.4,2019-04-20,NEW,2018
26,14,Bournemouth,35,12,5,18,49,62,-13,41,0.8,2019-04-20,BOU,2018
28,15,Burnley,35,11,7,17,44,62,-18,40,2.0,2019-04-22,BUR,2018
30,16,Southampton,35,9,10,16,41,58,-17,37,1.4,2019-04-23,SOU,2018
32,17,Brighton and Hove Albion,35,9,7,19,32,54,-22,34,0.2,2019-04-23,BHA,2018
34,18,Cardiff City,35,9,4,22,30,65,-35,31,0.6,2019-04-21,CAR,2018
36,19,Fulham,35,6,5,24,33,76,-43,23,1.2,2019-04-20,FUL,2018
38,20,Huddersfield Town,35,3,5,27,20,69,-49,14,0.0,2019-04-20,HUD,2018
