,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,30,24,2,4,79,21,58,74,3.0,2019-03-09,MCI,2018
2,2,Liverpool,30,22,7,1,68,17,51,73,2.2,2019-03-10,LIV,2018
4,3,Tottenham Hotspur,30,20,1,9,57,32,25,61,0.8,2019-03-09,TOT,2018
6,4,Arsenal,30,18,6,6,63,39,24,60,2.6,2019-03-10,ARS,2018
8,5,Manchester United,30,17,7,6,58,40,18,58,2.0,2019-03-10,MUN,2018
10,6,Chelsea,29,17,6,6,50,31,19,57,2.0,2019-03-10,CHE,2018
12,7,Wolverhampton Wanderers,30,12,8,10,38,36,2,44,1.2,2019-03-10,WOL,2018
14,8,Watford,30,12,7,11,42,44,-2,43,1.8,2019-03-09,WAT,2018
16,9,West Ham United,30,11,6,13,37,43,-6,39,1.4,2019-03-09,WHU,2018
18,10,Leicester City,30,11,5,14,38,42,-4,38,1.2,2019-03-09,LEI,2018
20,11,Everton,30,10,7,13,41,42,-1,37,0.8,2019-03-09,EVE,2018
22,12,Bournemouth,30,11,4,15,41,54,-13,37,0.8,2019-03-09,BOU,2018
24,13,Newcastle United,30,9,7,14,29,38,-9,34,2.0,2019-03-09,NEW,2018
26,14,Crystal Palace,30,9,6,15,36,41,-5,33,1.4,2019-03-09,CRY,2018
28,15,Brighton and Hove Albion,29,9,6,14,32,42,-10,33,1.4,2019-03-09,BHA,2018
30,16,Southampton,30,7,9,14,34,50,-16,30,1.2,2019-03-09,SOU,2018
32,17,Burnley,30,8,6,16,34,57,-23,30,1.2,2019-03-10,BUR,2018
34,18,Cardiff City,30,8,4,18,27,57,-30,28,1.2,2019-03-09,CAR,2018
36,19,Fulham,30,4,5,21,28,68,-40,17,0.0,2019-03-09,FUL,2018
38,20,Huddersfield Town,30,3,5,22,15,53,-38,14,0.6,2019-03-09,HUD,2018
