,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,16,13,3,0,34,6,28,42,3.0,2018-12-08,LIV,2018
2,2,Manchester City,16,13,2,1,45,9,36,41,2.4,2018-12-08,MCI,2018
4,3,Tottenham Hotspur,16,12,0,4,30,16,14,36,2.4,2018-12-08,TOT,2018
6,4,Chelsea,16,10,4,2,33,13,20,34,1.4,2018-12-08,CHE,2018
8,5,Arsenal,16,10,4,2,35,20,15,34,2.2,2018-12-08,ARS,2018
10,6,Manchester United,16,7,5,4,28,26,2,26,1.2,2018-12-08,MUN,2018
12,7,Everton,16,6,6,4,23,19,4,24,1.2,2018-12-10,EVE,2018
14,8,Bournemouth,16,7,2,7,25,26,-1,23,0.6,2018-12-08,BOU,2018
16,9,Leicester City,16,6,4,6,21,20,1,22,1.2,2018-12-08,LEI,2018
18,10,Wolverhampton Wanderers,16,6,4,6,17,19,-2,22,1.4,2018-12-09,WOL,2018
20,11,West Ham United,16,6,3,7,23,25,-2,21,2.0,2018-12-08,WHU,2018
22,12,Watford,16,6,3,7,20,23,-3,21,0.4,2018-12-10,WAT,2018
24,13,Brighton and Hove Albion,16,6,3,7,19,22,-3,21,1.4,2018-12-08,BHA,2018
26,14,Cardiff City,16,4,2,10,15,30,-15,14,1.8,2018-12-08,CAR,2018
28,15,Newcastle United,16,3,4,9,13,22,-9,13,1.4,2018-12-09,NEW,2018
30,16,Crystal Palace,16,3,3,10,13,23,-10,12,0.8,2018-12-08,CRY,2018
32,17,Burnley,16,3,3,10,15,32,-17,12,0.8,2018-12-08,BUR,2018
34,18,Huddersfield Town,16,2,4,10,10,27,-17,10,0.8,2018-12-08,HUD,2018
36,19,Southampton,16,1,6,9,13,30,-17,9,0.4,2018-12-08,SOU,2018
38,20,Fulham,16,2,3,11,16,40,-24,9,0.8,2018-12-08,FUL,2018
