,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,29,23,2,4,76,20,56,71,3.0,2019-03-02,MCI,2018
2,2,Liverpool,29,21,7,1,64,15,49,70,1.8,2019-03-03,LIV,2018
4,3,Tottenham Hotspur,29,20,1,8,56,30,26,61,1.4,2019-03-02,TOT,2018
6,4,Manchester United,29,17,7,5,58,38,20,58,2.6,2019-03-02,MUN,2018
8,5,Arsenal,29,17,6,6,61,39,22,57,2.0,2019-03-02,ARS,2018
10,6,Chelsea,28,17,5,6,49,30,19,56,1.8,2019-03-03,CHE,2018
12,7,Wolverhampton Wanderers,29,12,7,10,37,35,2,43,1.6,2019-03-02,WOL,2018
14,8,Watford,29,12,7,10,41,41,0,43,2.0,2019-03-03,WAT,2018
16,9,West Ham United,29,11,6,12,37,41,-4,39,1.6,2019-03-02,WHU,2018
18,10,Everton,29,10,7,12,39,39,0,37,0.8,2019-03-03,EVE,2018
20,11,Leicester City,29,10,5,14,35,41,-6,35,0.6,2019-03-03,LEI,2018
22,12,Bournemouth,29,10,4,15,39,54,-15,34,0.2,2019-03-02,BOU,2018
24,13,Crystal Palace,29,9,6,14,35,39,-4,33,2.0,2019-03-02,CRY,2018
26,14,Newcastle United,29,8,7,14,26,36,-10,31,1.4,2019-03-02,NEW,2018
28,15,Brighton and Hove Albion,28,8,6,14,30,41,-11,30,0.8,2019-03-02,BHA,2018
30,16,Burnley,29,8,6,15,32,53,-21,30,1.4,2019-03-02,BUR,2018
32,17,Southampton,29,6,9,14,32,49,-17,27,0.8,2019-03-02,SOU,2018
34,18,Cardiff City,29,7,4,18,25,57,-32,25,1.2,2019-03-02,CAR,2018
36,19,Fulham,29,4,5,20,27,65,-38,17,0.0,2019-03-03,FUL,2018
38,20,Huddersfield Town,29,3,5,21,15,51,-36,14,0.6,2019-03-02,HUD,2018
