,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,23,19,3,1,54,13,41,60,2.4,2019-01-19,LIV,2018
2,2,Manchester City,23,18,2,3,62,17,45,56,2.4,2019-01-20,MCI,2018
4,3,Tottenham Hotspur,23,17,0,6,48,23,25,51,1.8,2019-01-20,TOT,2018
6,4,Chelsea,23,14,5,4,40,19,21,47,2.0,2019-01-19,CHE,2018
8,5,Arsenal,23,13,5,5,48,32,16,44,1.4,2019-01-19,ARS,2018
10,6,Manchester United,23,13,5,5,46,33,13,44,3.0,2019-01-19,MUN,2018
12,7,Watford,23,9,6,8,32,32,0,33,1.2,2019-01-19,WAT,2018
14,8,Wolverhampton Wanderers,23,9,5,9,27,31,-4,32,1.4,2019-01-19,WOL,2018
16,9,Leicester City,23,9,4,10,29,29,0,31,1.2,2019-01-19,LEI,2018
18,10,West Ham United,23,9,4,10,30,34,-4,31,1.4,2019-01-19,WHU,2018
20,11,Everton,23,8,6,9,34,33,1,30,1.2,2019-01-19,EVE,2018
22,12,Bournemouth,23,9,3,11,33,42,-9,30,0.8,2019-01-19,BOU,2018
24,13,Brighton and Hove Albion,23,7,5,11,25,32,-7,26,1.0,2019-01-19,BHA,2018
26,14,Crystal Palace,23,6,4,13,23,32,-9,22,0.8,2019-01-19,CRY,2018
28,15,Southampton,23,5,7,11,25,40,-15,22,1.4,2019-01-19,SOU,2018
30,16,Burnley,23,6,4,13,23,43,-20,22,2.0,2019-01-19,BUR,2018
32,17,Newcastle United,23,5,6,12,19,31,-12,21,0.8,2019-01-19,NEW,2018
34,18,Cardiff City,23,5,4,14,19,44,-25,19,1.0,2019-01-19,CAR,2018
36,19,Fulham,23,3,5,15,21,51,-30,14,0.8,2019-01-20,FUL,2018
38,20,Huddersfield Town,23,2,5,16,13,40,-27,11,0.2,2019-01-20,HUD,2018
