,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,28,21,6,1,64,15,49,69,1.8,2019-02-27,LIV,2018
2,2,Manchester City,28,22,2,4,75,20,55,68,2.4,2019-02-27,MCI,2018
4,3,Tottenham Hotspur,28,20,0,8,55,29,26,60,1.8,2019-02-27,TOT,2018
6,4,Arsenal,28,17,5,6,60,38,22,56,2.4,2019-02-27,ARS,2018
8,5,Manchester United,28,16,7,5,55,36,19,55,2.2,2019-02-27,MUN,2018
10,6,Chelsea,27,16,5,6,47,29,18,53,1.2,2019-02-27,CHE,2018
12,7,Wolverhampton Wanderers,28,11,7,10,35,35,0,40,1.6,2019-02-26,WOL,2018
14,8,Watford,28,11,7,10,39,40,-1,40,1.4,2019-02-27,WAT,2018
16,9,Everton,28,10,6,12,39,39,0,36,1.2,2019-02-26,EVE,2018
18,10,West Ham United,28,10,6,12,35,41,-6,36,1.0,2019-02-27,WHU,2018
20,11,Leicester City,28,10,5,13,34,39,-5,35,0.8,2019-02-26,LEI,2018
22,12,Bournemouth,28,10,4,14,39,53,-14,34,0.8,2019-02-27,BOU,2018
24,13,Newcastle United,28,8,7,13,26,34,-8,31,2.0,2019-02-26,NEW,2018
26,14,Crystal Palace,28,8,6,14,32,38,-6,30,1.6,2019-02-27,CRY,2018
28,15,Burnley,28,8,6,14,31,50,-19,30,1.6,2019-02-26,BUR,2018
30,16,Brighton and Hove Albion,27,7,6,14,29,41,-12,27,0.2,2019-02-26,BHA,2018
32,17,Southampton,28,6,9,13,30,46,-16,27,1.0,2019-02-27,SOU,2018
34,18,Cardiff City,28,7,4,17,25,55,-30,25,1.2,2019-02-26,CAR,2018
36,19,Fulham,28,4,5,19,26,63,-37,17,0.6,2019-02-27,FUL,2018
38,20,Huddersfield Town,28,3,5,20,15,50,-35,14,0.6,2019-02-26,HUD,2018
