,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,26,20,2,4,68,20,48,62,2.4,2019-02-06,MCI,2018
2,2,Liverpool,25,19,5,1,56,15,41,62,1.6,2019-02-04,LIV,2018
4,3,Tottenham Hotspur,25,19,0,6,51,24,27,57,2.4,2019-02-02,TOT,2018
6,4,Chelsea,25,15,5,5,45,23,22,50,1.4,2019-02-02,CHE,2018
8,5,Manchester United,25,14,6,5,49,35,14,48,2.6,2019-02-03,MUN,2018
10,6,Arsenal,25,14,5,6,51,36,15,47,1.8,2019-02-03,ARS,2018
12,7,Wolverhampton Wanderers,25,11,5,9,33,32,1,38,1.8,2019-02-02,WOL,2018
14,8,Watford,25,9,7,9,33,34,-1,34,1.2,2019-02-02,WAT,2018
16,9,Everton,26,9,6,11,36,38,-2,33,1.2,2019-02-06,EVE,2018
18,10,Bournemouth,25,10,3,12,37,44,-7,33,1.4,2019-02-02,BOU,2018
20,11,Leicester City,25,9,5,11,30,31,-1,32,0.8,2019-02-03,LEI,2018
22,12,West Ham United,25,9,5,11,31,38,-7,32,1.0,2019-02-04,WHU,2018
24,13,Brighton and Hove Albion,25,7,6,12,27,36,-9,27,0.4,2019-02-02,BHA,2018
26,14,Crystal Palace,25,7,5,13,26,33,-7,26,1.4,2019-02-02,CRY,2018
28,15,Newcastle United,25,6,6,13,21,33,-12,24,1.2,2019-02-02,NEW,2018
30,16,Southampton,25,5,9,11,27,42,-15,24,1.8,2019-02-02,SOU,2018
32,17,Burnley,25,6,6,13,26,46,-20,24,1.8,2019-02-02,BUR,2018
34,18,Cardiff City,25,6,4,15,22,46,-24,22,0.8,2019-02-02,CAR,2018
36,19,Fulham,25,4,5,16,25,55,-30,17,0.6,2019-02-02,FUL,2018
38,20,Huddersfield Town,25,2,5,18,13,46,-33,11,0.2,2019-02-02,HUD,2018
