,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,27,20,6,1,59,15,44,66,1.8,2019-02-24,LIV,2018
2,2,Manchester City,27,21,2,4,74,20,54,65,2.4,2019-02-10,MCI,2018
4,3,Tottenham Hotspur,27,20,0,7,55,27,28,60,2.4,2019-02-23,TOT,2018
6,4,Arsenal,27,16,5,6,55,37,18,53,2.4,2019-02-24,ARS,2018
8,5,Manchester United,27,15,7,5,52,35,17,52,2.2,2019-02-24,MUN,2018
10,6,Chelsea,26,15,5,6,45,29,16,50,1.2,2019-02-10,CHE,2018
12,7,Watford,27,11,7,9,39,35,4,40,1.6,2019-02-22,WAT,2018
14,8,Wolverhampton Wanderers,27,11,7,9,35,34,1,40,2.2,2019-02-23,WOL,2018
16,9,West Ham United,27,10,6,11,35,40,-5,36,1.0,2019-02-22,WHU,2018
18,10,Bournemouth,27,10,4,13,38,48,-10,34,1.4,2019-02-23,BOU,2018
20,11,Everton,27,9,6,12,36,39,-3,33,0.6,2019-02-09,EVE,2018
22,12,Leicester City,27,9,5,13,32,38,-6,32,0.2,2019-02-23,LEI,2018
24,13,Crystal Palace,27,8,6,13,31,35,-4,30,1.6,2019-02-23,CRY,2018
26,14,Burnley,27,8,6,13,31,48,-17,30,1.8,2019-02-23,BUR,2018
28,15,Newcastle United,27,7,7,13,24,34,-10,28,2.0,2019-02-23,NEW,2018
30,16,Brighton and Hove Albion,26,7,6,13,28,39,-11,27,0.2,2019-02-09,BHA,2018
32,17,Cardiff City,27,7,4,16,25,52,-27,25,1.2,2019-02-22,CAR,2018
34,18,Southampton,27,5,9,13,28,46,-18,24,1.0,2019-02-24,SOU,2018
36,19,Fulham,27,4,5,18,26,61,-35,17,0.6,2019-02-22,FUL,2018
38,20,Huddersfield Town,27,2,5,20,14,50,-36,11,0.0,2019-02-23,HUD,2018
