,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,14,12,2,0,43,6,37,38,3.0,2018-12-01,MCI,2018
2,2,Liverpool,14,11,3,0,27,5,22,36,2.6,2018-12-02,LIV,2018
4,3,Chelsea,14,9,4,1,30,11,19,31,2.0,2018-12-02,CHE,2018
6,4,Arsenal,14,9,3,2,32,18,14,30,1.8,2018-12-02,ARS,2018
8,5,Tottenham Hotspur,14,10,0,4,25,15,10,30,1.8,2018-12-02,TOT,2018
10,6,Everton,14,6,4,4,20,16,4,22,1.4,2018-12-02,EVE,2018
12,7,Manchester United,14,6,4,4,22,23,-1,22,1.6,2018-12-01,MUN,2018
14,8,Leicester City,14,6,3,5,20,17,3,21,1.8,2018-12-01,LEI,2018
16,9,Bournemouth,14,6,2,6,23,21,2,20,0.6,2018-12-01,BOU,2018
18,10,Watford,14,6,2,6,17,19,-2,20,0.8,2018-12-01,WAT,2018
20,11,Brighton and Hove Albion,14,5,3,6,16,20,-4,18,1.4,2018-12-01,BHA,2018
22,12,Wolverhampton Wanderers,14,4,4,6,13,17,-4,16,0.2,2018-11-30,WOL,2018
24,13,West Ham United,14,4,3,7,17,22,-5,15,1.6,2018-12-01,WHU,2018
26,14,Crystal Palace,14,3,3,8,10,17,-7,12,1.0,2018-12-01,CRY,2018
28,15,Newcastle United,14,3,3,8,11,19,-8,12,2.0,2018-12-01,NEW,2018
30,16,Cardiff City,14,3,2,9,13,27,-14,11,1.2,2018-11-30,CAR,2018
32,17,Huddersfield Town,14,2,4,8,9,24,-15,10,1.4,2018-12-01,HUD,2018
34,18,Southampton,14,1,6,7,12,26,-14,9,0.6,2018-12-01,SOU,2018
36,19,Burnley,14,2,3,9,13,29,-16,9,0.2,2018-12-01,BUR,2018
38,20,Fulham,14,2,2,10,14,35,-21,8,0.6,2018-12-02,FUL,2018
