,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,10,8,2,0,27,3,24,26,2.6,2018-10-29,MCI,2018
2,2,Liverpool,10,8,2,0,20,4,16,26,2.2,2018-10-27,LIV,2018
4,3,Chelsea,10,7,3,0,24,7,17,24,1.8,2018-10-28,CHE,2018
6,4,Arsenal,10,7,1,2,24,13,11,22,2.6,2018-10-28,ARS,2018
8,5,Tottenham Hotspur,10,7,0,3,16,8,8,21,2.4,2018-10-29,TOT,2018
10,6,Bournemouth,10,6,2,2,19,12,7,20,2.0,2018-10-27,BOU,2018
12,7,Watford,10,6,1,3,16,12,4,19,1.4,2018-10-27,WAT,2018
14,8,Manchester United,10,5,2,3,17,17,0,17,1.6,2018-10-28,MUN,2018
16,9,Everton,10,4,3,3,16,14,2,15,1.8,2018-10-28,EVE,2018
18,10,Wolverhampton Wanderers,10,4,3,3,9,9,0,15,1.4,2018-10-27,WOL,2018
20,11,Brighton and Hove Albion,10,4,2,4,11,13,-2,14,1.8,2018-10-27,BHA,2018
22,12,Leicester City,10,4,1,5,16,16,0,13,1.4,2018-10-27,LEI,2018
24,13,West Ham United,10,2,2,6,9,15,-6,8,1.0,2018-10-27,WHU,2018
26,14,Crystal Palace,10,2,2,6,7,13,-6,8,0.4,2018-10-28,CRY,2018
28,15,Burnley,10,2,2,6,10,21,-11,8,1.4,2018-10-28,BUR,2018
30,16,Southampton,10,1,4,5,6,14,-8,7,0.4,2018-10-27,SOU,2018
32,17,Cardiff City,10,1,2,7,9,23,-14,5,0.6,2018-10-27,CAR,2018
34,18,Fulham,10,1,2,7,11,28,-17,5,0.2,2018-10-27,FUL,2018
36,19,Newcastle United,10,0,3,7,6,14,-8,3,0.4,2018-10-27,NEW,2018
38,20,Huddersfield Town,10,0,3,7,4,21,-17,3,0.2,2018-10-27,HUD,2018
