,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,38,32,2,4,95,23,72,98,3.0,2019-05-12,MCI,2018
2,2,Liverpool,38,30,7,1,89,22,67,97,3.0,2019-05-12,LIV,2018
4,3,Chelsea,38,21,9,8,63,39,24,72,1.2,2019-05-12,CHE,2018
6,4,Tottenham Hotspur,38,23,2,13,67,39,28,71,0.8,2019-05-12,TOT,2018
8,5,Arsenal,38,21,7,10,73,51,22,70,0.8,2019-05-12,ARS,2018
10,6,Manchester United,38,19,9,10,65,54,11,66,0.4,2019-05-12,MUN,2018
12,7,Wolverhampton Wanderers,38,16,9,13,47,46,1,57,2.0,2019-05-12,WOL,2018
14,8,Everton,38,15,9,14,54,46,8,54,1.6,2019-05-12,EVE,2018
16,9,Leicester City,38,15,7,16,51,48,3,52,1.0,2019-05-12,LEI,2018
18,10,West Ham United,38,15,7,16,52,55,-3,52,2.0,2019-05-12,WHU,2018
20,11,Watford,38,14,8,16,52,59,-7,50,0.8,2019-05-12,WAT,2018
22,12,Crystal Palace,38,14,7,17,51,53,-2,49,2.0,2019-05-12,CRY,2018
24,13,Newcastle United,38,12,9,17,42,48,-6,45,2.0,2019-05-12,NEW,2018
26,14,Bournemouth,38,13,6,19,56,70,-14,45,1.4,2019-05-12,BOU,2018
28,15,Burnley,38,11,7,20,45,68,-23,40,0.8,2019-05-12,BUR,2018
30,16,Southampton,38,9,12,17,45,65,-20,39,0.6,2019-05-12,SOU,2018
32,17,Brighton and Hove Albion,38,9,9,20,35,60,-25,36,0.6,2019-05-12,BHA,2018
34,18,Cardiff City,38,10,4,24,34,69,-35,34,1.2,2019-05-12,CAR,2018
36,19,Fulham,38,7,5,26,34,81,-47,26,1.8,2019-05-12,FUL,2018
38,20,Huddersfield Town,38,3,7,28,22,76,-54,16,0.4,2019-05-12,HUD,2018
