,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,13,11,2,0,40,5,35,35,3.0,2018-11-24,MCI,2018
2,2,Liverpool,13,10,3,0,26,5,21,33,2.6,2018-11-24,LIV,2018
4,3,Tottenham Hotspur,13,10,0,3,23,11,12,30,2.4,2018-11-24,TOT,2018
6,4,Chelsea,13,8,4,1,28,11,17,28,1.6,2018-11-24,CHE,2018
8,5,Arsenal,13,8,3,2,28,16,12,27,1.8,2018-11-25,ARS,2018
10,6,Everton,13,6,4,3,20,15,5,22,2.0,2018-11-24,EVE,2018
12,7,Manchester United,13,6,3,4,20,21,-1,21,1.6,2018-11-24,MUN,2018
14,8,Bournemouth,13,6,2,5,22,18,4,20,0.8,2018-11-25,BOU,2018
16,9,Watford,13,6,2,5,17,17,0,20,1.4,2018-11-24,WAT,2018
18,10,Leicester City,13,5,3,5,18,17,1,18,1.2,2018-11-24,LEI,2018
20,11,Wolverhampton Wanderers,13,4,4,5,12,15,-3,16,0.2,2018-11-25,WOL,2018
22,12,Brighton and Hove Albion,13,4,3,6,14,19,-5,15,1.4,2018-11-24,BHA,2018
24,13,Newcastle United,13,3,3,7,11,16,-5,12,2.0,2018-11-26,NEW,2018
26,14,West Ham United,13,3,3,7,14,22,-8,12,1.0,2018-11-24,WHU,2018
28,15,Huddersfield Town,13,2,4,7,8,22,-14,10,1.4,2018-11-25,HUD,2018
30,16,Crystal Palace,13,2,3,8,8,17,-9,9,0.4,2018-11-24,CRY,2018
32,17,Burnley,13,2,3,8,13,27,-14,9,0.2,2018-11-26,BUR,2018
34,18,Southampton,13,1,5,7,10,24,-14,8,0.6,2018-11-24,SOU,2018
36,19,Cardiff City,13,2,2,9,11,26,-15,8,1.2,2018-11-24,CAR,2018
38,20,Fulham,13,2,2,9,14,33,-19,8,0.6,2018-11-24,FUL,2018
