,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,2,2,0,0,8,1,7,6,3.0,2018-08-19,MCI,2018
2,2,Liverpool,2,2,0,0,6,0,6,6,3.0,2018-08-20,LIV,2018
4,3,Chelsea,2,2,0,0,6,2,4,6,3.0,2018-08-18,CHE,2018
6,4,Watford,2,2,0,0,5,1,4,6,3.0,2018-08-19,WAT,2018
8,5,Tottenham Hotspur,2,2,0,0,5,2,3,6,3.0,2018-08-18,TOT,2018
10,6,Bournemouth,2,2,0,0,4,1,3,6,3.0,2018-08-18,BOU,2018
12,7,Everton,2,1,1,0,4,3,1,4,2.0,2018-08-18,EVE,2018
14,8,Leicester City,2,1,0,1,3,2,1,3,1.5,2018-08-18,LEI,2018
16,9,Manchester United,2,1,0,1,4,4,0,3,1.5,2018-08-19,MUN,2018
18,10,Crystal Palace,2,1,0,1,2,2,0,3,1.5,2018-08-20,CRY,2018
20,11,Brighton and Hove Albion,2,1,0,1,3,4,-1,3,1.5,2018-08-19,BHA,2018
22,12,Newcastle United,2,0,1,1,1,2,-1,1,0.5,2018-08-18,NEW,2018
24,13,Southampton,2,0,1,1,1,2,-1,1,0.5,2018-08-18,SOU,2018
26,14,Wolverhampton Wanderers,2,0,1,1,2,4,-2,1,0.5,2018-08-18,WOL,2018
28,15,Burnley,2,0,1,1,1,3,-2,1,0.5,2018-08-19,BUR,2018
30,16,Cardiff City,2,0,1,1,0,2,-2,1,0.5,2018-08-18,CAR,2018
32,17,Arsenal,2,0,0,2,2,5,-3,0,0.0,2018-08-18,ARS,2018
34,18,Fulham,2,0,0,2,1,5,-4,0,0.0,2018-08-18,FUL,2018
36,19,West Ham United,2,0,0,2,1,6,-5,0,0.0,2018-08-18,WHU,2018
38,20,Huddersfield Town,2,0,0,2,1,9,-8,0,0.0,2018-08-19,HUD,2018
