,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,24,19,4,1,55,14,41,61,2.0,2019-01-30,LIV,2018
2,2,Manchester City,24,18,2,4,63,19,44,56,2.4,2019-01-29,MCI,2018
4,3,Tottenham Hotspur,24,18,0,6,50,24,26,54,1.8,2019-01-30,TOT,2018
6,4,Arsenal,24,14,5,5,50,33,17,47,1.8,2019-01-29,ARS,2018
8,5,Chelsea,24,14,5,5,40,23,17,47,1.4,2019-01-30,CHE,2018
10,6,Manchester United,24,13,6,5,48,35,13,45,2.6,2019-01-29,MUN,2018
12,7,Wolverhampton Wanderers,24,10,5,9,30,31,-1,35,1.8,2019-01-29,WOL,2018
14,8,Everton,24,9,6,9,35,33,2,33,1.2,2019-01-29,EVE,2018
16,9,Watford,24,9,6,9,33,34,-1,33,1.2,2019-01-30,WAT,2018
18,10,Bournemouth,24,10,3,11,37,42,-5,33,1.4,2019-01-30,BOU,2018
20,11,Leicester City,24,9,5,10,30,30,0,32,0.8,2019-01-30,LEI,2018
22,12,West Ham United,24,9,4,11,30,37,-7,31,0.8,2019-01-29,WHU,2018
24,13,Brighton and Hove Albion,24,7,5,12,27,36,-9,26,0.8,2019-01-29,BHA,2018
26,14,Newcastle United,24,6,6,12,21,32,-11,24,1.4,2019-01-29,NEW,2018
28,15,Crystal Palace,24,6,5,13,24,33,-9,23,0.8,2019-01-30,CRY,2018
30,16,Southampton,24,5,8,11,26,41,-15,23,1.6,2019-01-30,SOU,2018
32,17,Burnley,24,6,5,13,25,45,-20,23,2.2,2019-01-29,BUR,2018
34,18,Cardiff City,24,5,4,15,20,46,-26,19,0.8,2019-01-29,CAR,2018
36,19,Fulham,24,4,5,15,25,53,-28,17,1.2,2019-01-29,FUL,2018
38,20,Huddersfield Town,24,2,5,17,13,41,-28,11,0.2,2019-01-29,HUD,2018
