,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,34,26,7,1,77,20,57,85,3.0,2019-04-14,LIV,2018
2,2,Manchester City,33,27,2,4,86,22,64,83,3.0,2019-04-14,MCI,2018
4,3,Tottenham Hotspur,33,22,1,10,64,34,30,67,1.4,2019-04-13,TOT,2018
6,4,Arsenal,33,20,6,7,66,40,26,66,2.0,2019-04-15,ARS,2018
8,5,Chelsea,34,20,6,8,57,36,21,66,1.8,2019-04-14,CHE,2018
10,6,Manchester United,33,19,7,7,63,44,19,64,1.8,2019-04-13,MUN,2018
12,7,Leicester City,34,14,5,15,46,45,1,47,2.4,2019-04-12,LEI,2018
14,8,Wolverhampton Wanderers,33,13,8,12,41,42,-1,47,1.4,2019-04-13,WOL,2018
16,9,Everton,34,13,7,14,46,44,2,46,1.8,2019-04-13,EVE,2018
18,10,Watford,33,13,7,13,47,48,-1,46,1.2,2019-04-15,WAT,2018
20,11,West Ham United,34,12,6,16,42,52,-10,42,0.6,2019-04-13,WHU,2018
22,12,Bournemouth,34,12,5,17,49,61,-12,41,1.4,2019-04-13,BOU,2018
24,13,Crystal Palace,34,11,6,17,40,46,-6,39,1.2,2019-04-14,CRY,2018
26,14,Burnley,34,11,6,17,42,60,-18,39,1.8,2019-04-13,BUR,2018
28,15,Newcastle United,34,10,8,16,32,43,-11,38,1.4,2019-04-12,NEW,2018
30,16,Southampton,33,9,9,15,39,54,-15,36,1.8,2019-04-13,SOU,2018
32,17,Brighton and Hove Albion,33,9,6,18,32,53,-21,33,0.6,2019-04-16,BHA,2018
34,18,Cardiff City,34,9,4,21,30,63,-33,31,1.2,2019-04-16,CAR,2018
36,19,Fulham,34,5,5,24,32,76,-44,20,0.6,2019-04-13,FUL,2018
38,20,Huddersfield Town,34,3,5,26,19,67,-48,14,0.0,2019-04-13,HUD,2018
