,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,22,18,3,1,50,10,40,57,2.4,2019-01-12,LIV,2018
2,2,Manchester City,22,17,2,3,59,17,42,53,1.8,2019-01-14,MCI,2018
4,3,Tottenham Hotspur,22,16,0,6,46,22,24,48,1.8,2019-01-13,TOT,2018
6,4,Chelsea,22,14,5,3,40,17,23,47,2.0,2019-01-12,CHE,2018
8,5,Arsenal,22,12,5,5,46,32,14,41,1.4,2019-01-12,ARS,2018
10,6,Manchester United,22,12,5,5,44,32,12,41,3.0,2019-01-13,MUN,2018
12,7,Watford,22,9,5,8,32,32,0,32,1.6,2019-01-12,WAT,2018
14,8,Leicester City,22,9,4,9,26,25,1,31,1.8,2019-01-12,LEI,2018
16,9,West Ham United,22,9,4,9,30,32,-2,31,1.4,2019-01-12,WHU,2018
18,10,Everton,22,8,6,8,33,31,2,30,1.2,2019-01-13,EVE,2018
20,11,Wolverhampton Wanderers,22,8,5,9,23,28,-5,29,0.8,2019-01-14,WOL,2018
22,12,Bournemouth,22,8,3,11,31,42,-11,27,0.8,2019-01-13,BOU,2018
24,13,Brighton and Hove Albion,22,7,5,10,24,30,-6,26,1.0,2019-01-12,BHA,2018
26,14,Crystal Palace,22,6,4,12,20,28,-8,22,1.4,2019-01-12,CRY,2018
28,15,Burnley,22,6,3,13,23,43,-20,21,1.8,2019-01-12,BUR,2018
30,16,Southampton,22,4,7,11,23,39,-16,19,1.4,2019-01-12,SOU,2018
32,17,Cardiff City,22,5,4,13,19,41,-22,19,1.0,2019-01-12,CAR,2018
34,18,Newcastle United,22,4,6,12,16,31,-15,18,0.4,2019-01-12,NEW,2018
36,19,Fulham,22,3,5,14,20,49,-29,14,1.0,2019-01-12,FUL,2018
38,20,Huddersfield Town,22,2,5,15,13,37,-24,11,0.2,2019-01-12,HUD,2018
