,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,20,17,3,0,48,8,40,54,3.0,2018-12-29,LIV,2018
2,2,Manchester City,20,15,2,3,54,16,38,47,1.2,2018-12-30,MCI,2018
4,3,Tottenham Hotspur,20,15,0,5,43,21,22,45,2.4,2018-12-29,TOT,2018
6,4,Chelsea,20,13,4,3,38,16,22,43,2.4,2018-12-30,CHE,2018
8,5,Arsenal,20,11,5,4,42,30,12,38,1.4,2018-12-29,ARS,2018
10,6,Manchester United,20,10,5,5,41,32,9,35,2.4,2018-12-30,MUN,2018
12,7,Wolverhampton Wanderers,20,8,5,7,23,23,0,29,2.0,2018-12-29,WOL,2018
14,8,Leicester City,20,8,4,8,24,23,1,28,1.2,2018-12-29,LEI,2018
16,9,Watford,20,8,4,8,27,28,-1,28,1.6,2018-12-29,WAT,2018
18,10,Everton,20,7,6,7,31,30,1,27,0.8,2018-12-29,EVE,2018
20,11,West Ham United,20,8,3,9,27,30,-3,27,1.8,2018-12-30,WHU,2018
22,12,Bournemouth,20,8,2,10,28,37,-9,26,0.6,2018-12-30,BOU,2018
24,13,Brighton and Hove Albion,20,7,4,9,22,27,-5,25,0.8,2018-12-29,BHA,2018
26,14,Crystal Palace,20,5,4,11,17,26,-9,19,1.4,2018-12-30,CRY,2018
28,15,Newcastle United,20,4,6,10,15,27,-12,18,1.0,2018-12-29,NEW,2018
30,16,Cardiff City,20,5,3,12,19,38,-19,18,1.4,2018-12-29,CAR,2018
32,17,Southampton,20,3,6,11,21,38,-17,15,1.2,2018-12-30,SOU,2018
34,18,Burnley,20,4,3,13,19,41,-22,15,1.2,2018-12-30,BUR,2018
36,19,Fulham,20,3,5,12,18,43,-25,14,1.0,2018-12-29,FUL,2018
38,20,Huddersfield Town,20,2,4,14,12,35,-23,10,0.0,2018-12-29,HUD,2018
