,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,36,30,2,4,90,22,68,92,3.0,2019-04-28,MCI,2018
2,2,Liverpool,36,28,7,1,84,20,64,91,3.0,2019-04-26,LIV,2018
4,3,Tottenham Hotspur,36,23,1,12,65,36,29,70,1.8,2019-04-27,TOT,2018
6,4,Chelsea,36,20,8,8,60,39,21,68,1.6,2019-04-28,CHE,2018
8,5,Arsenal,36,20,6,10,69,49,20,66,0.6,2019-04-28,ARS,2018
10,6,Manchester United,36,19,8,9,64,51,13,65,0.8,2019-04-28,MUN,2018
12,7,Wolverhampton Wanderers,36,15,9,12,46,44,2,54,2.0,2019-04-27,WOL,2018
14,8,Leicester City,36,15,6,15,51,47,4,51,2.0,2019-04-28,LEI,2018
16,9,Everton,36,14,8,14,50,44,6,50,2.0,2019-04-27,EVE,2018
18,10,Watford,36,14,8,14,51,52,-1,50,1.4,2019-04-27,WAT,2018
20,11,West Ham United,36,13,7,16,45,54,-9,46,0.8,2019-04-27,WHU,2018
22,12,Crystal Palace,36,12,7,17,43,48,-5,43,1.4,2019-04-27,CRY,2018
24,13,Newcastle United,36,11,9,16,36,45,-9,42,1.4,2019-04-27,NEW,2018
26,14,Bournemouth,36,12,6,18,52,65,-13,42,0.8,2019-04-27,BOU,2018
28,15,Burnley,36,11,7,18,44,63,-19,40,2.0,2019-04-28,BUR,2018
30,16,Southampton,36,9,11,16,44,61,-17,38,1.0,2019-04-27,SOU,2018
32,17,Brighton and Hove Albion,36,9,8,19,33,55,-22,35,0.4,2019-04-27,BHA,2018
34,18,Cardiff City,36,9,4,23,30,66,-36,31,0.6,2019-04-27,CAR,2018
36,19,Fulham,36,7,5,24,34,76,-42,26,1.8,2019-04-27,FUL,2018
38,20,Huddersfield Town,36,3,5,28,20,74,-54,14,0.0,2019-04-26,HUD,2018
