,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,12,10,2,0,36,5,31,32,2.6,2018-11-11,MCI,2018
2,2,Liverpool,12,9,3,0,23,5,18,30,2.2,2018-11-11,LIV,2018
4,3,Chelsea,12,8,4,0,27,8,19,28,2.2,2018-11-11,CHE,2018
6,4,Tottenham Hotspur,12,9,0,3,20,10,10,27,2.4,2018-11-10,TOT,2018
8,5,Arsenal,12,7,3,2,26,15,11,24,1.8,2018-11-11,ARS,2018
10,6,Bournemouth,12,6,2,4,21,16,5,20,1.4,2018-11-10,BOU,2018
12,7,Watford,12,6,2,4,17,14,3,20,1.4,2018-11-10,WAT,2018
14,8,Manchester United,12,6,2,4,20,21,-1,20,2.0,2018-11-11,MUN,2018
16,9,Everton,12,5,4,3,19,15,4,19,2.0,2018-11-11,EVE,2018
18,10,Leicester City,12,5,2,5,17,16,1,17,1.0,2018-11-10,LEI,2018
20,11,Wolverhampton Wanderers,12,4,4,4,12,13,-1,16,0.8,2018-11-11,WOL,2018
22,12,Brighton and Hove Albion,12,4,2,6,13,18,-5,14,1.8,2018-11-10,BHA,2018
24,13,West Ham United,12,3,3,6,14,18,-4,12,1.0,2018-11-10,WHU,2018
26,14,Newcastle United,12,2,3,7,9,15,-6,9,1.4,2018-11-10,NEW,2018
28,15,Burnley,12,2,3,7,12,25,-13,9,0.4,2018-11-10,BUR,2018
30,16,Crystal Palace,12,2,2,8,8,17,-9,8,0.2,2018-11-10,CRY,2018
32,17,Southampton,12,1,5,6,8,21,-13,8,0.6,2018-11-10,SOU,2018
34,18,Cardiff City,12,2,2,8,11,25,-14,8,1.2,2018-11-10,CAR,2018
36,19,Huddersfield Town,12,1,4,7,6,22,-16,7,1.0,2018-11-10,HUD,2018
38,20,Fulham,12,1,2,9,11,31,-20,5,0.0,2018-11-11,FUL,2018
