,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,18,15,3,0,39,7,32,48,3.0,2018-12-21,LIV,2018
2,2,Manchester City,18,14,2,2,50,13,37,44,1.8,2018-12-22,MCI,2018
4,3,Tottenham Hotspur,18,14,0,4,37,18,19,42,2.4,2018-12-23,TOT,2018
6,4,Chelsea,18,11,4,3,35,15,20,37,1.8,2018-12-22,CHE,2018
8,5,Arsenal,18,11,4,3,40,24,16,37,2.0,2018-12-22,ARS,2018
10,6,Manchester United,18,8,5,5,34,30,4,29,1.6,2018-12-22,MUN,2018
12,7,Watford,18,8,3,7,25,25,0,27,1.4,2018-12-22,WAT,2018
14,8,Bournemouth,18,8,2,8,27,28,-1,26,1.2,2018-12-22,BOU,2018
16,9,Leicester City,18,7,4,7,22,21,1,25,1.4,2018-12-22,LEI,2018
18,10,Wolverhampton Wanderers,18,7,4,7,19,21,-2,25,1.8,2018-12-21,WOL,2018
20,11,Everton,18,6,6,6,26,28,-2,24,0.4,2018-12-23,EVE,2018
22,12,West Ham United,18,7,3,8,25,27,-2,24,2.4,2018-12-22,WHU,2018
24,13,Brighton and Hove Albion,18,6,3,9,20,26,-6,21,1.2,2018-12-22,BHA,2018
26,14,Crystal Palace,18,5,3,10,17,25,-8,18,1.8,2018-12-22,CRY,2018
28,15,Newcastle United,18,4,5,9,14,22,-8,17,1.0,2018-12-22,NEW,2018
30,16,Southampton,18,3,6,9,19,33,-14,15,1.4,2018-12-22,SOU,2018
32,17,Cardiff City,18,4,2,12,18,38,-20,14,1.2,2018-12-22,CAR,2018
34,18,Burnley,18,3,3,12,16,36,-20,12,0.6,2018-12-22,BUR,2018
36,19,Huddersfield Town,18,2,4,12,11,31,-20,10,0.0,2018-12-22,HUD,2018
38,20,Fulham,18,2,4,12,16,42,-26,10,0.4,2018-12-22,FUL,2018
