,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,21,17,3,1,49,10,39,54,2.4,2019-01-03,LIV,2018
2,2,Manchester City,21,16,2,3,56,17,39,50,1.8,2019-01-03,MCI,2018
4,3,Tottenham Hotspur,21,16,0,5,46,21,25,48,2.4,2019-01-01,TOT,2018
6,4,Chelsea,21,13,5,3,38,16,22,44,2.0,2019-01-02,CHE,2018
8,5,Arsenal,21,12,5,4,46,31,15,41,1.4,2019-01-01,ARS,2018
10,6,Manchester United,21,11,5,5,43,32,11,38,2.4,2019-01-02,MUN,2018
12,7,Leicester City,21,9,4,8,25,23,2,31,1.8,2019-01-01,LEI,2018
14,8,Watford,21,8,5,8,30,31,-1,29,1.6,2019-01-02,WAT,2018
16,9,Wolverhampton Wanderers,21,8,5,8,23,25,-2,29,1.4,2019-01-02,WOL,2018
18,10,West Ham United,21,8,4,9,29,32,-3,28,1.4,2019-01-02,WHU,2018
20,11,Everton,21,7,6,8,31,31,0,27,0.6,2019-01-01,EVE,2018
22,12,Bournemouth,21,8,3,10,31,40,-9,27,0.8,2019-01-02,BOU,2018
24,13,Brighton and Hove Albion,21,7,5,9,24,29,-5,26,1.0,2019-01-02,BHA,2018
26,14,Crystal Palace,21,6,4,11,19,26,-7,22,2.0,2019-01-02,CRY,2018
28,15,Newcastle United,21,4,6,11,15,29,-14,18,1.0,2019-01-02,NEW,2018
30,16,Burnley,21,5,3,13,21,42,-21,18,1.2,2019-01-02,BUR,2018
32,17,Cardiff City,21,5,3,13,19,41,-22,18,0.8,2019-01-01,CAR,2018
34,18,Southampton,21,3,7,11,21,38,-17,16,1.4,2019-01-02,SOU,2018
36,19,Fulham,21,3,5,13,19,47,-28,14,1.0,2019-01-01,FUL,2018
38,20,Huddersfield Town,21,2,4,15,13,37,-24,10,0.0,2019-01-02,HUD,2018
