,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,33,25,7,1,75,20,55,82,2.6,2019-04-05,LIV,2018
2,2,Manchester City,32,26,2,4,83,21,62,80,3.0,2019-04-03,MCI,2018
4,3,Chelsea,33,20,6,7,57,34,23,66,2.0,2019-04-08,CHE,2018
6,4,Tottenham Hotspur,32,21,1,10,60,34,26,64,0.8,2019-04-03,TOT,2018
8,5,Arsenal,32,19,6,7,65,40,25,63,2.0,2019-04-07,ARS,2018
10,6,Manchester United,32,18,7,7,61,43,18,61,1.8,2019-04-02,MUN,2018
12,7,Leicester City,33,14,5,14,46,44,2,47,2.4,2019-04-06,LEI,2018
14,8,Wolverhampton Wanderers,32,13,8,11,40,39,1,47,1.4,2019-04-02,WOL,2018
16,9,Everton,33,13,7,13,46,42,4,46,2.0,2019-04-07,EVE,2018
18,10,Watford,32,13,7,12,47,47,0,46,1.2,2019-04-02,WAT,2018
20,11,West Ham United,33,12,6,15,41,50,-9,42,1.2,2019-04-08,WHU,2018
22,12,Crystal Palace,33,11,6,16,39,43,-4,39,1.8,2019-04-06,CRY,2018
24,13,Bournemouth,33,11,5,17,44,61,-17,38,0.8,2019-04-06,BOU,2018
26,14,Burnley,33,10,6,17,40,60,-20,36,1.2,2019-04-06,BUR,2018
28,15,Newcastle United,33,9,8,16,31,43,-12,35,0.8,2019-04-06,NEW,2018
30,16,Brighton and Hove Albion,31,9,6,16,32,46,-14,33,1.2,2019-04-03,BHA,2018
32,17,Southampton,32,8,9,15,36,53,-17,33,1.8,2019-04-05,SOU,2018
34,18,Cardiff City,32,8,4,20,28,61,-33,28,0.6,2019-04-03,CAR,2018
36,19,Fulham,33,4,5,24,30,76,-46,17,0.0,2019-04-02,FUL,2018
38,20,Huddersfield Town,33,3,5,25,19,63,-44,14,0.0,2019-04-06,HUD,2018
