,team,spi,off,def,date
0,Liverpool,91.4,2.8,0.3,2020-07-08
1,Man City,95.2,3.2,0.2,2020-07-08
2,Chelsea,85.6,2.6,0.5,2020-07-08
3,Leicester,82.2,2.2,0.5,2020-07-08
4,Man United,88.3,2.5,0.4,2020-07-08
5,Wolves,80.7,1.9,0.4,2020-07-08
6,Arsenal,79.7,2.1,0.6,2020-07-08
7,Tottenham,76.2,2.1,0.7,2020-07-08
8,Sheffield Utd,71.7,1.7,0.6,2020-07-08
9,Burnley,69.8,1.8,0.7,2020-07-08
10,Everton,77.9,2.0,0.6,2020-07-08
11,Southamon,71.1,1.9,0.8,2020-07-08
12,Newcastle,63.2,1.7,0.9,2020-07-08
13,Crystal Palace,69.5,1.7,0.7,2020-07-08
14,Brighton,71.4,1.8,0.7,2020-07-08
15,West Ham,67.6,2.0,1.0,2020-07-08
16,Watford,69.9,1.8,0.8,2020-07-08
17,Aston Villa,63.0,1.8,1.0,2020-07-08
18,Bournemouth,61.7,1.8,1.1,2020-07-08
19,Norwich,58.9,1.6,1.0,2020-07-08
