,team,spi,off,def,date
0,Liverpool,91.9,2.9,0.3,2020-03-11
1,Man City,94.8,3.2,0.2,2020-03-11
2,Leicester,81.6,2.2,0.5,2020-03-11
3,Chelsea,85.5,2.4,0.5,2020-03-11
4,Man United,84.8,2.3,0.4,2020-03-11
5,Wolves,80.6,2.1,0.5,2020-03-11
6,Sheffield Utd,73.3,1.8,0.6,2020-03-11
7,Tottenham,76.6,2.2,0.8,2020-03-11
8,Arsenal,76.8,2.1,0.7,2020-03-11
9,Everton,77.7,2.1,0.6,2020-03-11
10,Burnley,71.2,1.8,0.7,2020-03-11
11,Crystal Palace,70.3,1.8,0.7,2020-03-11
12,Southamon,68.3,1.9,0.9,2020-03-11
13,Newcastle,62.7,1.6,0.9,2020-03-11
14,Brighton,70.6,1.9,0.8,2020-03-11
15,Watford,72.8,1.9,0.7,2020-03-11
16,West Ham,67.3,1.9,1.0,2020-03-11
17,Bournemouth,64.1,1.8,1.0,2020-03-11
18,Aston Villa,59.6,1.8,1.2,2020-03-11
19,Norwich,61.6,1.7,1.0,2020-03-11
