,team,spi,off,def,date
0,Liverpool,91.1,2.8,0.3,2019-08-05
1,Man City,95.6,3.3,0.2,2019-08-05
2,Man United,88.0,2.4,0.3,2019-08-05
3,Chelsea,86.0,2.6,0.5,2019-08-05
4,Leicester,81.1,2.1,0.5,2019-08-05
5,Tottenham,76.4,2.1,0.7,2019-08-05
6,Wolves,81.6,1.9,0.3,2019-08-05
7,Arsenal,76.4,2.1,0.7,2019-08-05
8,Sheffield Utd,71.3,1.7,0.6,2019-08-05
9,Burnley,71.1,1.8,0.7,2019-08-05
10,Southamon,75.3,2.1,0.7,2019-08-05
11,Everton,73.5,1.9,0.7,2019-08-05
12,Newcastle,62.9,1.7,0.9,2019-08-05
13,Crystal Palace,68.5,1.7,0.7,2019-08-05
14,Brighton,69.1,1.8,0.8,2019-08-05
15,West Ham,70.4,2.0,0.9,2019-08-05
16,Aston Villa,65.6,1.8,0.9,2019-08-05
17,Bournemouth,67.1,2.0,1.0,2019-08-05
18,Watford,70.8,2.0,0.8,2019-08-05
19,Norwich,53.1,1.5,1.2,2019-08-05
