,team,spi,off,def,date
0,Liverpool,93.8,3.0,0.2,2020-01-01
1,Man City,93.9,3.2,0.3,2020-01-01
2,Leicester,82.6,2.3,0.5,2020-01-01
3,Chelsea,85.0,2.5,0.5,2020-01-01
4,Tottenham,81.9,2.4,0.6,2020-01-01
5,Man United,81.1,2.2,0.5,2020-01-01
6,Wolves,78.1,2.0,0.6,2020-01-01
7,Arsenal,76.4,2.1,0.7,2020-01-01
8,Sheffield Utd,73.0,1.8,0.6,2020-01-01
9,Everton,78.5,2.0,0.6,2020-01-01
10,Crystal Palace,69.7,1.8,0.7,2020-01-01
11,Southamon,69.7,1.9,0.8,2020-01-01
12,Brighton,71.2,1.9,0.8,2020-01-01
13,Burnley,68.8,1.8,0.8,2020-01-01
14,West Ham,66.8,1.9,1.0,2020-01-01
15,Newcastle,61.3,1.7,1.0,2020-01-01
16,Watford,70.4,1.9,0.8,2020-01-01
17,Bournemouth,65.9,1.8,0.9,2020-01-01
18,Aston Villa,61.6,1.9,1.2,2020-01-01
19,Norwich,60.1,1.7,1.1,2020-01-01
