,team,spi,off,def,date
0,Liverpool,94.0,2.9,0.2,2020-02-19
1,Man City,94.5,3.2,0.3,2020-02-19
2,Leicester,81.4,2.2,0.6,2020-02-19
3,Chelsea,85.3,2.4,0.5,2020-02-19
4,Tottenham,79.2,2.3,0.7,2020-02-19
5,Man United,81.8,2.2,0.5,2020-02-19
6,Wolves,80.0,2.0,0.5,2020-02-19
7,Sheffield Utd,73.4,1.8,0.6,2020-02-19
8,Everton,78.8,2.1,0.6,2020-02-19
9,Arsenal,76.1,2.1,0.7,2020-02-19
10,Burnley,69.8,1.8,0.8,2020-02-19
11,Southamon,70.9,2.0,0.8,2020-02-19
12,Crystal Palace,68.0,1.7,0.8,2020-02-19
13,Newcastle,60.2,1.6,1.0,2020-02-19
14,Brighton,71.0,1.9,0.8,2020-02-19
15,Watford,71.1,1.9,0.8,2020-02-19
16,West Ham,64.6,1.9,1.0,2020-02-19
17,Bournemouth,63.4,1.8,1.0,2020-02-19
18,Aston Villa,61.3,1.9,1.2,2020-02-19
19,Norwich,61.6,1.7,1.0,2020-02-19
