,team,spi,off,def,date
0,Man City,94.9,3.1,0.2,2019-09-18
1,Liverpool,92.4,2.9,0.3,2019-09-18
2,Tottenham,84.2,2.4,0.5,2019-09-18
3,Chelsea,84.1,2.5,0.6,2019-09-18
4,Man United,82.2,2.3,0.5,2019-09-18
5,Arsenal,78.3,2.4,0.8,2019-09-18
6,Leicester,77.1,2.0,0.6,2019-09-18
7,Everton,77.2,2.0,0.6,2019-09-18
8,West Ham,69.7,2.0,0.9,2019-09-18
9,Crystal Palace,70.5,1.9,0.8,2019-09-18
10,Bournemouth,68.5,2.1,1.0,2019-09-18
11,Southamon,69.8,1.9,0.8,2019-09-18
12,Wolves,72.2,1.9,0.7,2019-09-18
13,Burnley,68.7,1.8,0.8,2019-09-18
14,Newcastle,68.5,1.8,0.8,2019-09-18
15,Norwich,64.4,1.8,1.0,2019-09-18
16,Watford,68.3,2.0,1.0,2019-09-18
17,Brighton,65.6,1.7,0.9,2019-09-18
18,Sheffield Utd,64.0,1.7,0.9,2019-09-18
19,Aston Villa,64.3,1.7,0.9,2019-09-18
