,team,spi,off,def,date
0,Liverpool,93.0,3.0,0.3,2019-11-10
1,Man City,95.2,3.3,0.2,2019-11-10
2,Chelsea,87.2,2.6,0.5,2019-11-10
3,Leicester,82.7,2.2,0.5,2019-11-10
4,Tottenham,82.4,2.4,0.6,2019-11-10
5,Man United,81.7,2.1,0.5,2019-11-10
6,Arsenal,77.2,2.3,0.8,2019-11-10
7,Everton,78.9,2.0,0.5,2019-11-10
8,Wolves,73.7,1.8,0.6,2019-11-10
9,Bournemouth,70.3,2.0,0.9,2019-11-10
10,Sheffield Utd,68.7,1.7,0.7,2019-11-10
11,Burnley,70.1,1.9,0.8,2019-11-10
12,Crystal Palace,69.5,1.8,0.8,2019-11-10
13,Brighton,68.4,1.8,0.9,2019-11-10
14,Newcastle,65.5,1.7,0.9,2019-11-10
15,West Ham,65.7,1.9,1.0,2019-11-10
16,Aston Villa,65.6,1.9,1.0,2019-11-10
17,Watford,67.8,1.8,0.9,2019-11-10
18,Southamon,64.1,1.8,1.0,2019-11-10
19,Norwich,57.4,1.7,1.2,2019-11-10
