,team,spi,off,def,date
0,Liverpool,92.6,2.9,0.3,2019-12-22
1,Man City,95.5,3.3,0.2,2019-12-22
2,Leicester,83.1,2.3,0.5,2019-12-22
3,Chelsea,86.3,2.6,0.5,2019-12-22
4,Tottenham,82.5,2.4,0.6,2019-12-22
5,Man United,80.4,2.2,0.6,2019-12-22
6,Wolves,76.5,1.9,0.6,2019-12-22
7,Sheffield Utd,71.4,1.8,0.7,2019-12-22
8,Arsenal,75.5,2.1,0.8,2019-12-22
9,Everton,77.6,2.0,0.6,2019-12-22
10,Burnley,70.4,1.8,0.8,2019-12-22
11,Crystal Palace,69.7,1.8,0.7,2019-12-22
12,Newcastle,64.6,1.7,0.9,2019-12-22
13,Brighton,69.1,1.9,0.8,2019-12-22
14,Bournemouth,68.7,1.8,0.8,2019-12-22
15,West Ham,66.1,1.9,1.0,2019-12-22
16,Southamon,66.8,1.9,1.0,2019-12-22
17,Aston Villa,63.9,1.9,1.1,2019-12-22
18,Watford,68.7,1.8,0.8,2019-12-22
19,Norwich,59.3,1.7,1.1,2019-12-22
