,team,spi,off,def,date
0,Liverpool,91.5,2.8,0.3,2020-07-15
1,Man City,95.3,3.2,0.2,2020-07-15
2,Chelsea,85.0,2.5,0.5,2020-07-15
3,Man United,88.1,2.5,0.4,2020-07-15
4,Leicester,80.6,2.1,0.5,2020-07-15
5,Wolves,81.8,1.9,0.4,2020-07-15
6,Tottenham,76.6,2.1,0.7,2020-07-15
7,Sheffield Utd,73.5,1.8,0.6,2020-07-15
8,Arsenal,78.6,2.1,0.6,2020-07-15
9,Burnley,70.2,1.8,0.7,2020-07-15
10,Everton,74.6,1.9,0.6,2020-07-15
11,Southamon,73.6,2.0,0.8,2020-07-15
12,Crystal Palace,68.3,1.7,0.8,2020-07-15
13,Newcastle,61.7,1.7,1.0,2020-07-15
14,Brighton,69.3,1.8,0.8,2020-07-15
15,West Ham,70.0,2.0,0.9,2020-07-15
16,Watford,70.9,1.9,0.8,2020-07-15
17,Bournemouth,67.2,1.9,1.0,2020-07-15
18,Aston Villa,63.5,1.8,1.0,2020-07-15
19,Norwich,54.9,1.5,1.1,2020-07-15
