,team,spi,off,def,date
0,Liverpool,92.8,2.9,0.2,2020-07-01
1,Man City,94.7,3.1,0.2,2020-07-01
2,Chelsea,85.7,2.5,0.5,2020-07-01
3,Leicester,81.7,2.1,0.5,2020-07-01
4,Man United,88.7,2.4,0.3,2020-07-01
5,Wolves,82.2,2.0,0.4,2020-07-01
6,Tottenham,76.9,2.2,0.7,2020-07-01
7,Arsenal,78.6,2.1,0.6,2020-07-01
8,Everton,77.8,2.0,0.6,2020-07-01
9,Burnley,70.5,1.8,0.7,2020-07-01
10,Sheffield Utd,69.2,1.7,0.7,2020-07-01
11,Crystal Palace,70.1,1.7,0.7,2020-07-01
12,Southamon,71.0,1.9,0.8,2020-07-01
13,Newcastle,64.8,1.7,0.9,2020-07-01
14,Brighton,70.7,1.8,0.7,2020-07-01
15,West Ham,67.2,1.9,1.0,2020-07-01
16,Watford,70.9,1.9,0.8,2020-07-01
17,Aston Villa,62.3,1.8,1.1,2020-07-01
18,Bournemouth,61.8,1.8,1.1,2020-07-01
19,Norwich,58.6,1.6,1.0,2020-07-01
