,team,spi,off,def,date
0,Liverpool,91.1,2.8,0.4,2020-07-22
1,Man City,95.4,3.3,0.2,2020-07-22
2,Chelsea,85.2,2.6,0.6,2020-07-22
3,Man United,88.2,2.4,0.3,2020-07-22
4,Leicester,81.3,2.2,0.5,2020-07-22
5,Wolves,82.2,1.9,0.3,2020-07-22
6,Tottenham,77.2,2.1,0.7,2020-07-22
7,Burnley,71.6,1.8,0.7,2020-07-22
8,Sheffield Utd,72.0,1.7,0.6,2020-07-22
9,Arsenal,78.4,2.1,0.6,2020-07-22
10,Everton,74.7,1.9,0.6,2020-07-22
11,Southamon,74.8,2.0,0.7,2020-07-22
12,Newcastle,62.6,1.7,0.9,2020-07-22
13,Crystal Palace,67.4,1.7,0.8,2020-07-22
14,West Ham,70.7,2.0,0.9,2020-07-22
15,Brighton,68.9,1.8,0.8,2020-07-22
16,Aston Villa,64.9,1.8,0.9,2020-07-22
17,Watford,69.7,1.8,0.8,2020-07-22
18,Bournemouth,66.3,1.9,1.0,2020-07-22
19,Norwich,53.6,1.5,1.1,2020-07-22
