,team,spi,off,def,date
0,Liverpool,92.8,2.9,0.2,2020-06-24
1,Man City,95.1,3.2,0.2,2020-06-24
2,Leicester,81.3,2.1,0.5,2020-06-24
3,Chelsea,85.4,2.4,0.5,2020-06-24
4,Man United,88.0,2.4,0.3,2020-06-24
5,Wolves,81.9,2.0,0.4,2020-06-24
6,Tottenham,76.9,2.2,0.7,2020-06-24
7,Everton,78.4,2.0,0.6,2020-06-24
8,Sheffield Utd,69.2,1.7,0.7,2020-06-24
9,Arsenal,76.4,2.1,0.7,2020-06-24
10,Crystal Palace,69.7,1.7,0.7,2020-06-24
11,Burnley,69.8,1.8,0.8,2020-06-24
12,Southamon,70.0,1.9,0.8,2020-06-24
13,Newcastle,63.7,1.6,0.9,2020-06-24
14,Brighton,71.5,1.8,0.7,2020-06-24
15,Watford,73.2,1.9,0.7,2020-06-24
16,West Ham,65.8,1.9,1.0,2020-06-24
17,Bournemouth,63.7,1.8,1.0,2020-06-24
18,Aston Villa,61.9,1.8,1.1,2020-06-24
19,Norwich,59.9,1.6,1.0,2020-06-24
