,team,spi,off,def,date
0,Liverpool,93.0,3.0,0.3,2019-12-11
1,Man City,94.9,3.3,0.3,2019-12-11
2,Leicester,84.5,2.3,0.5,2019-12-11
3,Chelsea,85.9,2.6,0.5,2019-12-11
4,Tottenham,83.3,2.5,0.6,2019-12-11
5,Man United,80.8,2.2,0.6,2019-12-11
6,Wolves,75.1,1.9,0.6,2019-12-11
7,Arsenal,75.5,2.3,0.8,2019-12-11
8,Everton,77.5,2.1,0.6,2019-12-11
9,Crystal Palace,70.3,1.8,0.7,2019-12-11
10,Sheffield Utd,69.5,1.8,0.7,2019-12-11
11,Brighton,68.7,1.9,0.9,2019-12-11
12,Newcastle,64.5,1.7,0.9,2019-12-11
13,Burnley,69.3,1.9,0.8,2019-12-11
14,Bournemouth,67.9,1.9,0.9,2019-12-11
15,Aston Villa,66.1,1.9,1.0,2019-12-11
16,Southamon,66.6,1.9,1.0,2019-12-11
17,West Ham,64.9,1.9,1.0,2019-12-11
18,Watford,66.5,1.8,0.9,2019-12-11
19,Norwich,58.3,1.7,1.2,2019-12-11
