,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2020-09-14,Home,L,0,2,Wolves,1.0,1.4,55.0,Sheffield Utd
2,2020-09-21,Away,L,0,1,Aston Villa,0.9,1.0,29.0,Sheffield Utd
3,2020-09-27,Home,L,0,1,Leeds United,1.4,1.2,36.0,Sheffield Utd
4,2020-10-04,Away,L,1,2,Arsenal,0.2,0.6,36.0,Sheffield Utd
5,2020-10-18,Home,D,1,1,Fulham,1.7,1.5,42.0,Sheffield Utd
6,2020-10-24,Away,L,1,2,Liverpool,1.6,2.3,38.0,Sheffield Utd
7,2020-10-31,Home,L,0,1,Manchester City,0.5,1.6,35.0,Sheffield Utd
8,2020-11-07,Away,L,1,4,Chelsea,0.4,2.2,31.0,Sheffield Utd
9,2020-11-22,Home,L,0,1,West Ham,0.9,2.1,51.0,Sheffield Utd
10,2020-11-28,Away,L,0,1,West Brom,2.9,1.2,51.0,Sheffield Utd
11,2020-12-06,Home,L,1,2,Leicester City,0.2,1.4,31.0,Sheffield Utd
12,2020-12-13,Away,L,0,3,Southampton,0.3,2.0,33.0,Sheffield Utd
13,2020-12-17,Home,L,2,3,Manchester Utd,1.5,1.9,40.0,Sheffield Utd
14,2020-12-20,Away,D,1,1,Brighton,0.5,2.8,27.0,Sheffield Utd
15,2020-12-26,Home,L,0,1,Everton,1.4,0.7,44.0,Sheffield Utd
16,2020-12-29,Away,L,0,1,Burnley,0.7,1.0,63.0,Sheffield Utd
17,2021-01-02,Away,L,0,2,Crystal Palace,0.4,0.6,56.0,Sheffield Utd
19,2021-01-12,Home,W,1,0,Newcastle Utd,2.1,0.6,65.0,Sheffield Utd
20,2021-01-17,Home,L,1,3,Tottenham,0.9,1.0,43.0,Sheffield Utd
22,2021-01-27,Away,W,2,1,Manchester Utd,1.0,1.1,25.0,Sheffield Utd
23,2021-01-30,Away,L,0,1,Manchester City,0.2,1.5,25.0,Sheffield Utd
24,2021-02-02,Home,W,2,1,West Brom,1.3,1.6,68.0,Sheffield Utd
25,2021-02-07,Home,L,1,2,Chelsea,0.6,1.6,32.0,Sheffield Utd
27,2021-02-15,Away,L,0,3,West Ham,0.7,1.9,54.0,Sheffield Utd
28,2021-02-20,Away,L,0,1,Fulham,0.9,1.2,36.0,Sheffield Utd
29,2021-02-28,Home,L,0,2,Liverpool,0.7,2.7,40.0,Sheffield Utd
30,2021-03-03,Home,W,1,0,Aston Villa,0.9,2.3,28.0,Sheffield Utd
31,2021-03-06,Home,L,0,2,Southampton,0.7,1.9,51.0,Sheffield Utd
32,2021-03-14,Away,L,0,5,Leicester City,0.1,4.0,29.0,Sheffield Utd
34,2021-04-03,Away,L,1,2,Leeds United,1.1,2.4,46.0,Sheffield Utd
35,2021-04-11,Home,L,0,3,Arsenal,0.3,1.7,45.0,Sheffield Utd
36,2021-04-17,Away,L,0,1,Wolves,0.5,1.1,52.0,Sheffield Utd
37,2021-04-24,Home,W,1,0,Brighton,0.7,2.0,32.0,Sheffield Utd
38,2021-05-02,Away,L,0,4,Tottenham,0.5,2.2,34.0,Sheffield Utd
39,2021-05-08,Home,L,0,2,Crystal Palace,0.7,2.0,50.0,Sheffield Utd
40,2021-05-16,Away,W,1,0,Everton,1.2,1.4,38.0,Sheffield Utd
41,2021-05-19,Away,L,0,1,Newcastle Utd,0.9,1.6,49.0,Sheffield Utd
42,2021-05-23,Home,W,1,0,Burnley,0.5,1.1,43.0,Sheffield Utd
