,team,spi,off,def,date
0,Man City,94.5,3.1,0.2,2019-05-01
1,Liverpool,93.4,3.0,0.2,2019-05-01
2,Tottenham,83.3,2.3,0.5,2019-05-01
3,Chelsea,84.7,2.4,0.5,2019-05-01
4,Arsenal,78.1,2.3,0.7,2019-05-01
5,Man United,76.5,2.2,0.7,2019-05-01
6,Wolves,71.5,1.9,0.7,2019-05-01
7,Everton,76.3,1.9,0.6,2019-05-01
8,Leicester,74.4,2.0,0.7,2019-05-01
9,Watford,67.6,1.9,1.0,2019-05-01
10,West Ham,64.2,1.8,1.0,2019-05-01
11,Crystal Palace,70.9,1.9,0.8,2019-05-01
12,Bournemouth,65.4,2.0,1.1,2019-05-01
13,Newcastle,66.7,1.7,0.8,2019-05-01
14,Burnley,66.4,1.8,0.9,2019-05-01
15,Southamon,67.7,1.9,0.9,2019-05-01
16,Brighton,57.2,1.5,1.0,2019-05-01
17,Cardiff City,58.7,1.6,1.0,2019-05-01
18,Fulham,59.3,1.7,1.1,2019-05-01
19,Huddersfield,51.3,1.4,1.1,2019-05-01
